date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2017-12-31,0.0,28.5,13.6,3.59,0.126,Kumuram Bheem Asifabad,TS
2018-01-01,0.0,29.7,14.1,3.99,0.124,Kumuram Bheem Asifabad,TS
2018-01-02,0.0,28.4,14.9,3.55,0.127,Kumuram Bheem Asifabad,TS
2018-01-03,0.0,28.5,14.1,3.68,0.131,Kumuram Bheem Asifabad,TS
2018-01-04,0.0,27.5,14.1,3.66,0.132,Kumuram Bheem Asifabad,TS
2018-01-05,0.0,27.9,13.3,3.6,0.132,Kumuram Bheem Asifabad,TS
2018-01-06,0.0,27.8,13.9,3.63,0.131,Kumuram Bheem Asifabad,TS
2018-01-07,0.0,27.6,14.4,3.49,0.132,Kumuram Bheem Asifabad,TS
2018-01-08,0.0,27.6,14.4,3.84,0.133,Kumuram Bheem Asifabad,TS
2018-01-09,0.0,27.6,13.4,3.72,0.136,Kumuram Bheem Asifabad,TS
2018-01-10,0.0,28.4,14.4,3.88,0.136,Kumuram Bheem Asifabad,TS
2018-01-11,0.0,29.6,16.0,3.92,0.133,Kumuram Bheem Asifabad,TS
2018-01-12,0.0,31.1,16.6,3.96,0.13,Kumuram Bheem Asifabad,TS
2018-01-13,0.0,31.2,17.0,4.37,0.128,Kumuram Bheem Asifabad,TS
2018-01-14,0.0,30.8,18.0,3.83,0.126,Kumuram Bheem Asifabad,TS
2018-01-15,0.0,31.2,19.6,3.59,0.126,Kumuram Bheem Asifabad,TS
2018-01-16,0.0,30.8,17.0,4.19,0.125,Kumuram Bheem Asifabad,TS
2018-01-17,0.0,30.3,16.6,4.02,0.123,Kumuram Bheem Asifabad,TS
2018-01-18,0.0,29.9,16.0,4.54,0.126,Kumuram Bheem Asifabad,TS
2018-01-19,0.0,29.1,13.8,4.45,0.127,Kumuram Bheem Asifabad,TS
2018-01-20,0.0,29.2,13.6,4.09,0.125,Kumuram Bheem Asifabad,TS
2018-01-21,0.0,29.2,13.4,4.24,0.123,Kumuram Bheem Asifabad,TS
2018-01-22,0.0,29.0,13.6,4.31,0.122,Kumuram Bheem Asifabad,TS
2018-01-23,0.0,30.0,16.1,4.17,0.122,Kumuram Bheem Asifabad,TS
2018-01-24,0.0,30.3,18.8,4.49,0.121,Kumuram Bheem Asifabad,TS
2018-01-25,0.0,29.4,15.5,4.48,0.122,Kumuram Bheem Asifabad,TS
2018-01-26,0.0,29.0,12.8,4.35,0.125,Kumuram Bheem Asifabad,TS
2018-01-27,0.0,29.2,13.2,4.12,0.127,Kumuram Bheem Asifabad,TS
2018-01-28,0.0,29.6,14.4,4.26,0.126,Kumuram Bheem Asifabad,TS
2018-01-29,0.0,30.4,14.4,4.46,0.125,Kumuram Bheem Asifabad,TS
2018-01-30,0.0,31.2,14.6,4.79,0.123,Kumuram Bheem Asifabad,TS
2018-01-31,0.0,32.3,13.5,4.86,0.122,Kumuram Bheem Asifabad,TS
2018-02-01,0.0,31.9,15.1,4.97,0.121,Kumuram Bheem Asifabad,TS
2018-02-02,0.0,31.9,15.1,4.83,0.123,Kumuram Bheem Asifabad,TS
2018-02-03,0.0,32.5,15.5,5.1,0.125,Kumuram Bheem Asifabad,TS
2018-02-04,0.0,32.5,17.0,5.04,0.124,Kumuram Bheem Asifabad,TS
2018-02-05,0.0,32.2,16.8,4.93,0.124,Kumuram Bheem Asifabad,TS
2018-02-06,0.0,32.4,17.3,4.74,0.124,Kumuram Bheem Asifabad,TS
2018-02-07,0.1,30.0,19.3,2.99,0.128,Kumuram Bheem Asifabad,TS
2018-02-08,0.0,32.0,17.3,4.1,0.132,Kumuram Bheem Asifabad,TS
2018-02-09,0.0,34.6,19.5,4.83,0.128,Kumuram Bheem Asifabad,TS
2018-02-10,0.0,31.7,17.6,3.67,0.129,Kumuram Bheem Asifabad,TS
2018-02-11,0.0,32.4,19.4,4.29,0.133,Kumuram Bheem Asifabad,TS
2018-02-12,0.0,31.7,19.6,4.52,0.139,Kumuram Bheem Asifabad,TS
2018-02-13,1.4,30.4,18.9,3.61,0.139,Kumuram Bheem Asifabad,TS
2018-02-14,0.0,30.6,18.1,4.43,0.15,Kumuram Bheem Asifabad,TS
2018-02-15,0.0,30.6,17.9,4.7,0.147,Kumuram Bheem Asifabad,TS
2018-02-16,0.0,30.9,16.6,4.78,0.138,Kumuram Bheem Asifabad,TS
2018-02-17,0.0,32.9,16.0,5.16,0.128,Kumuram Bheem Asifabad,TS
2018-02-18,0.0,33.7,17.1,4.84,0.121,Kumuram Bheem Asifabad,TS
2018-02-19,0.0,34.8,19.1,5.05,0.119,Kumuram Bheem Asifabad,TS
2018-02-20,0.0,32.8,19.6,3.94,0.116,Kumuram Bheem Asifabad,TS
2018-02-21,0.0,33.7,20.1,4.45,0.114,Kumuram Bheem Asifabad,TS
2018-02-22,0.0,34.1,19.9,4.59,0.114,Kumuram Bheem Asifabad,TS
2018-02-23,0.0,35.0,20.6,5.38,0.115,Kumuram Bheem Asifabad,TS
2018-02-24,0.0,35.1,19.7,5.66,0.115,Kumuram Bheem Asifabad,TS
2018-02-25,0.0,35.9,19.2,5.55,0.115,Kumuram Bheem Asifabad,TS
2018-02-26,0.0,35.9,19.9,5.33,0.12,Kumuram Bheem Asifabad,TS
2018-02-27,0.0,36.3,21.4,5.99,0.122,Kumuram Bheem Asifabad,TS
2018-02-28,0.0,36.4,20.3,5.6,0.122,Kumuram Bheem Asifabad,TS
2018-03-01,0.0,36.5,19.9,5.55,0.119,Kumuram Bheem Asifabad,TS
2018-03-02,0.0,37.6,20.4,5.74,0.126,Kumuram Bheem Asifabad,TS
2018-03-03,0.0,38.7,22.8,6.11,0.123,Kumuram Bheem Asifabad,TS
