date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.0,28.8,17.7,3.48,0.193,Mahabubabad,TS
2023-12-31,0.0,29.1,17.4,3.71,0.19,Mahabubabad,TS
2024-01-01,0.0,29.5,18.0,3.42,0.186,Mahabubabad,TS
2024-01-02,0.2,29.0,18.0,3.37,0.182,Mahabubabad,TS
2024-01-03,0.0,29.1,18.7,3.89,0.184,Mahabubabad,TS
2024-01-04,0.0,29.7,18.3,3.94,0.188,Mahabubabad,TS
2024-01-05,0.0,29.7,18.1,4.18,0.188,Mahabubabad,TS
2024-01-06,0.0,30.1,17.9,4.08,0.191,Mahabubabad,TS
2024-01-07,0.0,29.6,18.4,4.1,0.192,Mahabubabad,TS
2024-01-08,0.0,30.7,17.8,4.51,0.197,Mahabubabad,TS
2024-01-09,0.0,30.7,18.4,4.09,0.206,Mahabubabad,TS
2024-01-10,0.0,30.3,18.9,3.17,0.214,Mahabubabad,TS
2024-01-11,0.0,31.8,21.3,3.73,0.218,Mahabubabad,TS
2024-01-12,0.0,30.9,20.7,3.77,0.214,Mahabubabad,TS
2024-01-13,0.0,32.0,20.6,3.99,0.213,Mahabubabad,TS
2024-01-14,0.0,31.9,20.2,4.07,0.214,Mahabubabad,TS
2024-01-15,0.0,31.2,20.3,3.89,0.211,Mahabubabad,TS
2024-01-16,0.0,30.6,20.2,4.02,0.209,Mahabubabad,TS
2024-01-17,0.0,30.4,19.8,3.93,0.209,Mahabubabad,TS
2024-01-18,0.0,29.9,19.3,4.06,0.206,Mahabubabad,TS
2024-01-19,0.0,31.1,19.5,4.06,0.207,Mahabubabad,TS
2024-01-20,0.0,30.6,19.8,4.15,0.209,Mahabubabad,TS
2024-01-21,0.3,30.2,20.8,3.63,0.213,Mahabubabad,TS
2024-01-22,0.0,30.5,21.0,4.05,0.216,Mahabubabad,TS
2024-01-23,1.1,30.5,21.7,4.01,0.222,Mahabubabad,TS
2024-01-24,1.2,30.2,22.1,3.64,0.232,Mahabubabad,TS
2024-01-25,0.5,29.4,22.1,3.43,0.243,Mahabubabad,TS
2024-01-26,0.7,29.1,21.0,3.47,0.244,Mahabubabad,TS
2024-01-27,0.2,29.9,19.5,3.6,0.249,Mahabubabad,TS
2024-01-28,0.1,29.6,19.6,3.71,0.251,Mahabubabad,TS
