date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.2,27.9,18.2,4.16,0.145,Mahabubnagar,TS
2021-12-31,0.0,28.8,18.4,4.71,0.149,Mahabubnagar,TS
2022-01-01,0.0,29.1,18.7,4.54,0.153,Mahabubnagar,TS
2022-01-02,0.1,28.2,18.0,4.06,0.156,Mahabubnagar,TS
2022-01-03,0.0,28.8,17.5,4.42,0.154,Mahabubnagar,TS
2022-01-04,0.0,28.7,16.0,4.62,0.152,Mahabubnagar,TS
2022-01-05,0.0,28.2,15.9,4.15,0.151,Mahabubnagar,TS
2022-01-06,0.0,28.6,16.5,4.35,0.15,Mahabubnagar,TS
2022-01-07,0.0,28.4,17.7,3.85,0.152,Mahabubnagar,TS
2022-01-08,0.0,27.5,18.2,3.27,0.156,Mahabubnagar,TS
2022-01-09,0.3,28.2,17.6,3.63,0.163,Mahabubnagar,TS
2022-01-10,1.3,27.7,18.5,3.22,0.168,Mahabubnagar,TS
2022-01-11,0.3,28.3,18.5,3.35,0.181,Mahabubnagar,TS
2022-01-12,24.7,26.5,17.9,3.24,0.327,Mahabubnagar,TS
2022-01-13,5.0,26.0,18.4,2.75,0.331,Mahabubnagar,TS
2022-01-14,2.4,27.3,18.8,3.54,0.313,Mahabubnagar,TS
2022-01-15,0.4,26.8,18.1,3.49,0.283,Mahabubnagar,TS
2022-01-16,0.0,27.2,18.3,3.92,0.27,Mahabubnagar,TS
2022-01-17,0.2,26.4,17.8,3.29,0.263,Mahabubnagar,TS
2022-01-18,0.0,27.5,17.2,3.66,0.25,Mahabubnagar,TS
2022-01-19,0.0,28.9,16.5,4.74,0.234,Mahabubnagar,TS
2022-01-20,0.0,29.9,16.3,4.47,0.22,Mahabubnagar,TS
2022-01-21,0.0,31.4,17.1,4.88,0.206,Mahabubnagar,TS
2022-01-22,0.0,30.1,17.6,4.95,0.198,Mahabubnagar,TS
2022-01-23,0.0,29.1,16.9,4.84,0.193,Mahabubnagar,TS
2022-01-24,0.0,27.4,17.1,4.82,0.187,Mahabubnagar,TS
2022-01-25,0.0,27.0,16.4,4.54,0.184,Mahabubnagar,TS
2022-01-26,0.0,28.0,17.2,4.74,0.188,Mahabubnagar,TS
2022-01-27,0.0,28.0,17.9,5.41,0.189,Mahabubnagar,TS
2022-01-28,0.0,27.6,16.9,5.5,0.183,Mahabubnagar,TS
2022-01-29,0.0,28.3,15.9,5.57,0.172,Mahabubnagar,TS
2022-01-30,0.0,29.3,15.7,4.99,0.16,Mahabubnagar,TS
2022-01-31,0.0,31.0,16.2,5.2,0.157,Mahabubnagar,TS
2022-02-01,0.0,30.7,16.9,5.0,0.16,Mahabubnagar,TS
2022-02-02,0.0,30.8,17.9,4.81,0.161,Mahabubnagar,TS
2022-02-03,0.0,30.9,17.6,5.0,0.157,Mahabubnagar,TS
2022-02-04,0.0,29.4,18.2,5.3,0.159,Mahabubnagar,TS
2022-02-05,0.0,29.3,17.1,5.48,0.154,Mahabubnagar,TS
2022-02-06,0.0,29.9,17.8,5.68,0.151,Mahabubnagar,TS
2022-02-07,0.0,30.0,17.1,4.57,0.146,Mahabubnagar,TS
2022-02-08,0.0,29.9,18.2,4.41,0.141,Mahabubnagar,TS
2022-02-09,0.0,30.7,18.9,4.87,0.14,Mahabubnagar,TS
2022-02-10,0.0,30.7,17.9,4.55,0.141,Mahabubnagar,TS
2022-02-11,0.0,30.8,19.7,5.38,0.138,Mahabubnagar,TS
2022-02-12,0.0,30.3,19.2,6.15,0.135,Mahabubnagar,TS
2022-02-13,0.0,30.0,17.5,6.17,0.132,Mahabubnagar,TS
2022-02-14,0.0,30.6,17.0,5.61,0.132,Mahabubnagar,TS
2022-02-15,0.0,30.2,17.5,4.79,0.131,Mahabubnagar,TS
2022-02-16,0.0,30.3,18.2,4.95,0.13,Mahabubnagar,TS
2022-02-17,0.0,31.1,18.6,5.15,0.133,Mahabubnagar,TS
