date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.7,25.7,17.4,3.23,0.238,Medak,TS
2021-12-31,0.0,27.6,16.6,3.52,0.244,Medak,TS
2022-01-01,0.0,27.4,17.5,3.58,0.245,Medak,TS
2022-01-02,0.0,27.5,16.7,3.86,0.246,Medak,TS
2022-01-03,0.0,26.9,16.6,3.83,0.244,Medak,TS
2022-01-04,0.0,27.1,15.3,3.91,0.245,Medak,TS
2022-01-05,0.0,27.8,16.0,3.74,0.245,Medak,TS
2022-01-06,0.0,27.8,16.8,4.14,0.246,Medak,TS
2022-01-07,0.0,27.2,17.6,4.16,0.247,Medak,TS
2022-01-08,0.4,27.4,18.4,3.42,0.246,Medak,TS
2022-01-09,0.4,28.3,18.9,3.65,0.252,Medak,TS
2022-01-10,2.9,26.7,18.4,2.97,0.266,Medak,TS
2022-01-11,5.6,24.1,17.7,1.86,0.285,Medak,TS
2022-01-12,0.8,26.0,16.2,2.58,0.297,Medak,TS
2022-01-13,2.7,24.3,17.8,2.05,0.31,Medak,TS
2022-01-14,0.8,27.0,17.3,2.99,0.305,Medak,TS
2022-01-15,0.8,25.9,16.5,2.93,0.3,Medak,TS
2022-01-16,0.0,26.0,17.2,3.2,0.296,Medak,TS
2022-01-17,0.0,26.9,17.1,3.35,0.297,Medak,TS
2022-01-18,0.0,26.8,15.7,3.77,0.288,Medak,TS
2022-01-19,0.0,27.0,15.8,3.83,0.273,Medak,TS
2022-01-20,0.0,28.2,15.0,4.0,0.268,Medak,TS
2022-01-21,0.0,28.7,16.0,4.51,0.262,Medak,TS
2022-01-22,0.0,30.4,15.4,4.5,0.26,Medak,TS
2022-01-23,0.0,27.2,16.7,3.86,0.259,Medak,TS
2022-01-24,0.0,25.2,15.2,3.99,0.257,Medak,TS
2022-01-25,0.0,25.9,13.8,3.92,0.254,Medak,TS
2022-01-26,0.0,26.0,15.2,4.22,0.255,Medak,TS
2022-01-27,0.0,25.6,15.8,4.33,0.255,Medak,TS
2022-01-28,0.0,24.8,14.3,4.52,0.25,Medak,TS
2022-01-29,0.0,25.9,12.8,4.29,0.246,Medak,TS
2022-01-30,0.0,27.6,12.2,4.28,0.245,Medak,TS
2022-01-31,0.0,29.3,12.4,4.56,0.245,Medak,TS
2022-02-01,0.0,29.6,14.3,4.6,0.244,Medak,TS
2022-02-02,0.0,30.2,15.2,4.46,0.243,Medak,TS
2022-02-03,0.0,31.0,18.1,5.17,0.241,Medak,TS
2022-02-04,0.0,26.1,16.6,4.82,0.24,Medak,TS
2022-02-05,0.0,27.6,13.1,4.52,0.243,Medak,TS
2022-02-06,0.0,28.6,15.6,4.87,0.239,Medak,TS
2022-02-07,0.0,29.7,17.0,4.48,0.24,Medak,TS
2022-02-08,0.0,30.4,18.5,4.53,0.238,Medak,TS
2022-02-09,0.0,30.7,19.5,4.87,0.235,Medak,TS
2022-02-10,0.0,28.7,19.0,4.26,0.24,Medak,TS
2022-02-11,0.0,27.8,18.4,4.62,0.246,Medak,TS
2022-02-12,0.0,28.3,17.2,4.88,0.244,Medak,TS
2022-02-13,0.0,28.4,15.8,4.99,0.245,Medak,TS
2022-02-14,0.0,29.5,15.9,4.94,0.246,Medak,TS
2022-02-15,0.0,29.6,17.7,4.57,0.249,Medak,TS
2022-02-16,0.0,29.7,19.0,4.39,0.248,Medak,TS
2022-02-17,0.0,30.1,19.4,4.76,0.239,Medak,TS
2022-02-18,0.0,30.0,19.7,4.7,0.246,Medak,TS
2022-02-19,0.0,31.1,19.2,5.24,0.245,Medak,TS
2022-02-20,0.0,31.4,19.2,5.44,0.241,Medak,TS
2022-02-21,0.0,30.8,18.1,5.0,0.243,Medak,TS
2022-02-22,0.0,32.4,16.6,5.45,0.241,Medak,TS
2022-02-23,0.0,31.9,19.3,5.45,0.24,Medak,TS
2022-02-24,0.0,32.8,19.7,5.23,0.238,Medak,TS
2022-02-25,0.0,32.4,19.6,5.22,0.237,Medak,TS
2022-02-26,0.0,31.8,19.1,6.08,0.241,Medak,TS
2022-02-27,0.0,32.2,18.7,5.8,0.232,Medak,TS
2022-02-28,0.0,32.6,19.5,5.88,0.224,Medak,TS
2022-03-01,0.0,33.6,19.4,5.77,0.226,Medak,TS
2022-03-02,0.0,33.1,18.3,5.29,0.224,Medak,TS
2022-03-03,0.0,33.5,18.9,5.69,0.219,Medak,TS
2022-03-04,0.0,33.2,19.3,5.32,0.215,Medak,TS
2022-03-05,0.0,32.0,19.0,5.21,0.21,Medak,TS
2022-03-06,0.0,32.8,19.7,5.89,0.203,Medak,TS
2022-03-07,0.0,32.6,20.1,5.28,0.202,Medak,TS
2022-03-08,0.0,32.9,19.6,4.9,0.199,Medak,TS
2022-03-09,0.0,33.4,19.5,5.42,0.194,Medak,TS
