date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,25.8,13.5,3.78,0.113,Medchal Malikajgiri,TS
2025-12-30,0.0,26.8,13.5,3.71,0.11,Medchal Malikajgiri,TS
2025-12-31,0.0,28.1,15.2,3.7,0.111,Medchal Malikajgiri,TS
2026-01-01,0.0,28.0,15.9,3.71,0.114,Medchal Malikajgiri,TS
2026-01-02,0.0,28.1,16.5,3.29,0.109,Medchal Malikajgiri,TS
2026-01-03,0.0,27.0,16.7,3.41,0.107,Medchal Malikajgiri,TS
2026-01-04,0.0,26.2,16.1,3.51,0.105,Medchal Malikajgiri,TS
2026-01-05,0.0,26.1,16.0,3.88,0.112,Medchal Malikajgiri,TS
2026-01-06,0.0,26.0,14.8,4.08,0.103,Medchal Malikajgiri,TS
2026-01-07,0.0,26.1,13.1,4.2,0.106,Medchal Malikajgiri,TS
2026-01-08,0.0,25.5,13.0,4.19,0.11,Medchal Malikajgiri,TS
2026-01-09,0.0,24.8,13.0,4.33,0.109,Medchal Malikajgiri,TS
2026-01-10,0.0,25.1,15.4,4.46,0.102,Medchal Malikajgiri,TS
2026-01-11,0.0,25.7,14.4,3.9,0.102,Medchal Malikajgiri,TS
2026-01-12,0.0,26.3,16.6,4.12,0.102,Medchal Malikajgiri,TS
2026-01-13,0.0,28.3,17.1,4.02,0.102,Medchal Malikajgiri,TS
2026-01-14,0.0,29.1,18.1,3.62,0.102,Medchal Malikajgiri,TS
2026-01-15,0.0,28.6,18.4,3.88,0.114,Medchal Malikajgiri,TS
2026-01-16,0.0,28.3,16.7,4.37,0.106,Medchal Malikajgiri,TS
2026-01-17,0.0,28.7,15.0,4.6,0.097,Medchal Malikajgiri,TS
2026-01-18,0.0,30.0,16.4,4.56,0.094,Medchal Malikajgiri,TS
2026-01-19,0.0,29.2,15.6,4.64,0.089,Medchal Malikajgiri,TS
2026-01-20,0.0,27.8,16.8,4.48,0.098,Medchal Malikajgiri,TS
2026-01-21,0.0,26.8,15.9,4.52,0.099,Medchal Malikajgiri,TS
2026-01-22,0.0,26.5,15.4,4.52,0.102,Medchal Malikajgiri,TS
