date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,26.9,14.0,3.68,0.216,Mulugu,TS
2025-12-30,0.0,27.4,13.7,3.68,0.221,Mulugu,TS
2025-12-31,0.0,27.4,14.2,3.37,0.23,Mulugu,TS
2026-01-01,0.0,28.4,16.4,3.25,0.25,Mulugu,TS
2026-01-02,0.0,28.1,17.4,3.1,0.267,Mulugu,TS
2026-01-03,0.0,27.7,17.6,3.13,0.285,Mulugu,TS
2026-01-04,0.0,27.9,17.6,3.17,0.302,Mulugu,TS
2026-01-05,0.1,27.1,16.7,3.38,0.315,Mulugu,TS
2026-01-06,0.0,27.5,15.2,3.62,0.331,Mulugu,TS
2026-01-07,0.0,27.3,13.3,3.68,0.332,Mulugu,TS
2026-01-08,0.0,27.6,12.4,3.71,0.344,Mulugu,TS
2026-01-09,0.0,27.3,13.4,4.1,0.351,Mulugu,TS
2026-01-10,0.0,24.0,14.9,2.53,0.356,Mulugu,TS
2026-01-11,0.0,27.1,16.7,3.55,0.346,Mulugu,TS
2026-01-12,0.0,27.5,16.0,3.03,0.338,Mulugu,TS
2026-01-13,0.0,28.5,17.3,3.89,0.325,Mulugu,TS
2026-01-14,0.0,29.1,16.9,3.68,0.33,Mulugu,TS
2026-01-15,0.0,29.7,18.2,3.75,0.34,Mulugu,TS
2026-01-16,0.0,29.4,17.3,4.12,0.337,Mulugu,TS
2026-01-17,0.0,29.2,15.3,4.25,0.33,Mulugu,TS
2026-01-18,0.0,29.3,14.4,3.88,0.335,Mulugu,TS
2026-01-19,0.0,28.7,17.1,3.54,0.327,Mulugu,TS
2026-01-20,0.0,29.4,17.0,3.55,0.326,Mulugu,TS
2026-01-21,0.0,29.5,16.8,3.97,0.326,Mulugu,TS
2026-01-22,0.0,28.5,16.7,3.97,0.317,Mulugu,TS
2026-01-23,0.0,28.7,16.8,4.02,0.312,Mulugu,TS
2026-01-24,0.0,28.8,17.7,3.82,0.31,Mulugu,TS
2026-01-25,0.0,29.7,17.7,3.93,0.319,Mulugu,TS
2026-01-26,0.0,29.9,19.0,4.04,0.329,Mulugu,TS
2026-01-27,0.0,29.8,18.4,4.31,0.332,Mulugu,TS
2026-01-28,0.0,29.1,18.4,4.0,0.342,Mulugu,TS
2026-01-29,0.0,29.8,18.8,3.89,0.326,Mulugu,TS
2026-01-30,0.0,29.2,18.4,3.88,0.323,Mulugu,TS
2026-01-31,0.0,29.7,18.4,4.0,0.323,Mulugu,TS
2026-02-01,0.0,29.4,18.6,3.94,0.314,Mulugu,TS
2026-02-02,0.0,29.8,18.8,3.78,0.308,Mulugu,TS
2026-02-03,0.0,29.8,18.8,4.07,0.314,Mulugu,TS
2026-02-04,0.0,29.9,18.8,4.15,0.315,Mulugu,TS
2026-02-05,0.0,30.0,18.3,4.51,0.31,Mulugu,TS
2026-02-06,0.0,30.6,17.8,4.39,0.293,Mulugu,TS
2026-02-07,0.0,30.7,16.6,5.03,0.295,Mulugu,TS
2026-02-08,0.0,30.5,17.9,4.96,0.303,Mulugu,TS
2026-02-09,0.0,29.5,15.6,4.5,0.304,Mulugu,TS
2026-02-10,0.0,30.5,16.4,4.11,0.291,Mulugu,TS
2026-02-11,0.0,31.0,18.3,4.23,0.292,Mulugu,TS
2026-02-12,0.0,31.5,17.9,4.5,0.301,Mulugu,TS
2026-02-13,0.0,31.0,17.8,4.77,0.295,Mulugu,TS
2026-02-14,0.0,31.2,18.4,4.78,0.282,Mulugu,TS
2026-02-15,0.0,31.6,17.5,4.91,0.293,Mulugu,TS
2026-02-16,0.0,32.2,18.1,5.02,0.279,Mulugu,TS
2026-02-17,0.0,31.2,18.0,4.76,0.272,Mulugu,TS
2026-02-18,0.0,31.6,18.7,4.6,0.276,Mulugu,TS
2026-02-19,0.0,32.2,19.2,4.9,0.279,Mulugu,TS
2026-02-20,0.0,32.7,19.0,4.61,0.27,Mulugu,TS
2026-02-21,0.0,32.8,19.5,5.15,0.25,Mulugu,TS
2026-02-22,0.0,32.3,20.5,4.89,0.252,Mulugu,TS
2026-02-23,0.7,31.2,20.4,4.42,0.25,Mulugu,TS
2026-02-24,0.4,30.9,19.6,4.12,0.255,Mulugu,TS
2026-02-25,0.0,31.5,19.9,4.32,0.252,Mulugu,TS
2026-02-26,0.0,33.0,20.3,4.76,0.258,Mulugu,TS
2026-02-27,0.0,32.9,20.2,4.96,0.259,Mulugu,TS
2026-02-28,0.0,32.4,21.7,4.41,0.257,Mulugu,TS
2026-03-01,0.0,33.0,21.7,4.84,0.261,Mulugu,TS
