date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.0,28.0,18.0,4.1,0.143,Nagarkurnool,TS
2021-12-31,0.0,28.3,18.3,4.42,0.145,Nagarkurnool,TS
2022-01-01,0.0,28.3,18.4,4.19,0.147,Nagarkurnool,TS
2022-01-02,0.1,28.1,17.0,3.95,0.15,Nagarkurnool,TS
2022-01-03,0.0,28.4,16.6,4.2,0.148,Nagarkurnool,TS
2022-01-04,0.0,28.0,15.5,4.31,0.147,Nagarkurnool,TS
2022-01-05,0.0,27.9,15.9,4.12,0.148,Nagarkurnool,TS
2022-01-06,0.0,28.9,15.9,4.32,0.149,Nagarkurnool,TS
2022-01-07,0.0,28.4,17.2,3.73,0.149,Nagarkurnool,TS
2022-01-08,0.0,28.3,17.6,3.19,0.152,Nagarkurnool,TS
2022-01-09,0.0,28.8,17.3,3.8,0.156,Nagarkurnool,TS
2022-01-10,4.9,27.4,18.4,2.9,0.171,Nagarkurnool,TS
2022-01-11,0.5,28.3,18.3,3.49,0.218,Nagarkurnool,TS
2022-01-12,3.0,26.4,17.8,2.95,0.231,Nagarkurnool,TS
2022-01-13,1.4,26.7,18.4,2.94,0.246,Nagarkurnool,TS
2022-01-14,0.5,27.6,19.0,3.31,0.238,Nagarkurnool,TS
2022-01-15,0.3,26.5,18.1,3.4,0.228,Nagarkurnool,TS
2022-01-16,0.1,26.9,17.7,3.4,0.218,Nagarkurnool,TS
2022-01-17,0.2,26.3,17.9,3.09,0.214,Nagarkurnool,TS
2022-01-18,0.0,27.8,17.0,3.95,0.205,Nagarkurnool,TS
2022-01-19,0.0,28.6,15.4,4.47,0.193,Nagarkurnool,TS
2022-01-20,0.0,29.2,15.2,4.28,0.185,Nagarkurnool,TS
2022-01-21,0.0,30.6,17.4,5.02,0.177,Nagarkurnool,TS
2022-01-22,0.0,30.9,16.9,5.05,0.172,Nagarkurnool,TS
2022-01-23,0.0,28.5,17.7,4.92,0.166,Nagarkurnool,TS
2022-01-24,0.0,28.2,18.2,4.8,0.162,Nagarkurnool,TS
2022-01-25,0.0,28.0,14.5,4.55,0.159,Nagarkurnool,TS
2022-01-26,0.0,28.6,17.3,4.55,0.153,Nagarkurnool,TS
2022-01-27,0.0,27.6,17.5,5.29,0.152,Nagarkurnool,TS
2022-01-28,0.0,27.5,16.4,5.29,0.148,Nagarkurnool,TS
2022-01-29,0.0,28.4,14.5,5.1,0.141,Nagarkurnool,TS
2022-01-30,0.0,29.6,14.3,4.68,0.137,Nagarkurnool,TS
2022-01-31,0.0,30.7,15.5,4.93,0.137,Nagarkurnool,TS
2022-02-01,0.0,30.8,15.3,4.7,0.137,Nagarkurnool,TS
2022-02-02,0.0,31.4,16.4,4.64,0.139,Nagarkurnool,TS
2022-02-03,0.0,30.7,18.2,5.06,0.139,Nagarkurnool,TS
2022-02-04,0.0,29.5,18.0,5.38,0.143,Nagarkurnool,TS
2022-02-05,0.0,29.4,15.2,5.23,0.14,Nagarkurnool,TS
2022-02-06,0.0,30.1,16.9,5.41,0.135,Nagarkurnool,TS
2022-02-07,0.0,30.4,16.9,4.52,0.129,Nagarkurnool,TS
2022-02-08,0.0,31.0,18.1,4.76,0.135,Nagarkurnool,TS
2022-02-09,0.0,31.3,18.2,4.62,0.143,Nagarkurnool,TS
2022-02-10,0.0,30.6,17.3,4.68,0.151,Nagarkurnool,TS
2022-02-11,0.0,29.9,19.0,5.13,0.149,Nagarkurnool,TS
2022-02-12,0.0,29.5,18.3,5.63,0.153,Nagarkurnool,TS
2022-02-13,0.0,29.4,16.8,5.62,0.15,Nagarkurnool,TS
2022-02-14,0.0,30.3,15.6,5.19,0.143,Nagarkurnool,TS
2022-02-15,0.0,30.5,17.1,4.69,0.15,Nagarkurnool,TS
2022-02-16,0.0,30.3,17.7,4.66,0.152,Nagarkurnool,TS
2022-02-17,0.0,31.0,17.8,5.24,0.149,Nagarkurnool,TS
2022-02-18,0.0,31.4,18.6,4.99,0.148,Nagarkurnool,TS
2022-02-19,0.0,31.7,17.8,5.54,0.15,Nagarkurnool,TS
2022-02-20,0.0,32.1,19.4,5.51,0.142,Nagarkurnool,TS
2022-02-21,0.0,32.8,19.2,5.39,0.141,Nagarkurnool,TS
2022-02-22,0.0,33.5,19.4,6.18,0.137,Nagarkurnool,TS
2022-02-23,0.0,32.8,19.4,5.65,0.137,Nagarkurnool,TS
2022-02-24,0.0,33.2,17.9,5.86,0.134,Nagarkurnool,TS
2022-02-25,0.0,33.6,18.4,6.38,0.132,Nagarkurnool,TS
2022-02-26,0.0,32.8,16.2,6.28,0.132,Nagarkurnool,TS
2022-02-27,0.0,32.7,18.1,5.93,0.134,Nagarkurnool,TS
2022-02-28,0.0,32.8,17.4,6.32,0.132,Nagarkurnool,TS
2022-03-01,0.0,33.4,20.1,6.48,0.13,Nagarkurnool,TS
2022-03-02,0.0,33.5,19.4,6.67,0.129,Nagarkurnool,TS
2022-03-03,0.0,33.8,18.9,6.83,0.127,Nagarkurnool,TS
2022-03-04,0.0,33.2,17.7,6.72,0.126,Nagarkurnool,TS
2022-03-05,0.0,33.4,18.0,6.63,0.125,Nagarkurnool,TS
2022-03-06,0.0,33.0,18.9,6.14,0.124,Nagarkurnool,TS
2022-03-07,0.0,33.9,18.7,6.02,0.114,Nagarkurnool,TS
2022-03-08,0.0,33.4,20.3,5.9,0.109,Nagarkurnool,TS
2022-03-09,0.0,35.3,21.7,6.37,0.112,Nagarkurnool,TS
2022-03-10,0.0,34.1,20.3,6.07,0.113,Nagarkurnool,TS
2022-03-11,0.0,34.8,21.1,6.14,0.113,Nagarkurnool,TS
2022-03-12,0.0,34.3,21.0,6.03,0.108,Nagarkurnool,TS
2022-03-13,0.0,35.0,21.3,6.21,0.108,Nagarkurnool,TS
2022-03-14,0.0,35.2,20.9,6.73,0.108,Nagarkurnool,TS
2022-03-15,0.0,36.3,18.3,7.17,0.109,Nagarkurnool,TS
2022-03-16,0.0,38.2,20.7,7.19,0.105,Nagarkurnool,TS
2022-03-17,0.0,39.3,22.3,7.56,0.109,Nagarkurnool,TS
2022-03-18,0.0,37.7,23.8,6.89,0.109,Nagarkurnool,TS
