date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.0,28.6,16.9,3.6,0.149,Nalgonda,TS
2023-12-31,0.0,28.4,16.8,3.58,0.148,Nalgonda,TS
2024-01-01,0.1,28.9,17.3,3.57,0.148,Nalgonda,TS
2024-01-02,0.2,28.5,17.6,3.2,0.148,Nalgonda,TS
2024-01-03,0.0,28.6,18.4,3.76,0.149,Nalgonda,TS
2024-01-04,0.1,29.2,18.8,3.79,0.153,Nalgonda,TS
2024-01-05,0.0,29.2,18.0,4.14,0.155,Nalgonda,TS
2024-01-06,0.1,29.5,17.4,3.91,0.157,Nalgonda,TS
2024-01-07,0.0,27.9,17.6,3.11,0.156,Nalgonda,TS
2024-01-08,0.0,29.4,17.3,4.22,0.159,Nalgonda,TS
2024-01-09,0.0,29.8,18.1,4.15,0.165,Nalgonda,TS
2024-01-10,0.0,29.4,18.9,3.66,0.17,Nalgonda,TS
2024-01-11,0.0,30.7,19.7,4.02,0.173,Nalgonda,TS
2024-01-12,0.0,30.6,19.9,4.0,0.17,Nalgonda,TS
2024-01-13,0.0,31.7,19.9,3.85,0.167,Nalgonda,TS
2024-01-14,0.0,31.6,18.9,4.13,0.165,Nalgonda,TS
2024-01-15,0.0,31.5,19.2,4.0,0.158,Nalgonda,TS
2024-01-16,0.0,31.1,20.3,4.18,0.158,Nalgonda,TS
2024-01-17,0.0,30.5,19.9,4.27,0.159,Nalgonda,TS
2024-01-18,0.0,30.0,19.3,3.77,0.16,Nalgonda,TS
2024-01-19,0.0,31.0,18.9,4.22,0.159,Nalgonda,TS
2024-01-20,0.0,30.5,19.7,3.46,0.159,Nalgonda,TS
2024-01-21,0.2,30.7,20.5,3.94,0.164,Nalgonda,TS
2024-01-22,0.0,31.3,20.7,4.23,0.157,Nalgonda,TS
2024-01-23,0.1,31.4,21.5,4.25,0.157,Nalgonda,TS
2024-01-24,0.0,30.8,20.8,4.0,0.16,Nalgonda,TS
2024-01-25,0.6,29.8,20.1,3.66,0.157,Nalgonda,TS
2024-01-26,0.1,30.1,20.1,3.77,0.152,Nalgonda,TS
2024-01-27,0.4,30.2,19.9,3.85,0.155,Nalgonda,TS
2024-01-28,0.0,30.2,18.8,4.09,0.156,Nalgonda,TS
2024-01-29,0.0,30.1,19.9,4.06,0.158,Nalgonda,TS
2024-01-30,0.0,30.2,18.4,4.36,0.157,Nalgonda,TS
2024-01-31,0.0,31.2,17.5,4.5,0.153,Nalgonda,TS
2024-02-01,0.3,32.1,20.6,4.33,0.151,Nalgonda,TS
2024-02-02,0.1,31.7,21.8,4.1,0.15,Nalgonda,TS
2024-02-03,3.5,30.4,21.9,3.76,0.168,Nalgonda,TS
2024-02-04,0.0,32.4,20.2,4.52,0.164,Nalgonda,TS
2024-02-05,0.0,32.8,20.8,4.4,0.163,Nalgonda,TS
2024-02-06,0.0,34.5,21.5,4.75,0.159,Nalgonda,TS
2024-02-07,0.0,35.0,21.5,4.69,0.153,Nalgonda,TS
2024-02-08,0.0,34.6,21.2,4.8,0.149,Nalgonda,TS
2024-02-09,0.0,33.2,21.8,4.9,0.145,Nalgonda,TS
2024-02-10,0.7,33.6,23.3,4.8,0.15,Nalgonda,TS
2024-02-11,0.1,33.7,22.7,5.52,0.149,Nalgonda,TS
2024-02-12,0.0,32.2,20.1,5.02,0.144,Nalgonda,TS
2024-02-13,0.0,32.7,20.1,4.98,0.142,Nalgonda,TS
2024-02-14,0.0,33.6,21.0,5.08,0.143,Nalgonda,TS
2024-02-15,0.0,33.0,18.2,5.04,0.145,Nalgonda,TS
2024-02-16,0.0,32.7,18.1,5.17,0.149,Nalgonda,TS
2024-02-17,0.0,33.4,17.5,5.24,0.142,Nalgonda,TS
2024-02-18,0.0,34.9,18.6,6.19,0.137,Nalgonda,TS
2024-02-19,0.0,34.6,20.3,5.95,0.133,Nalgonda,TS
2024-02-20,0.0,35.1,21.2,5.3,0.13,Nalgonda,TS
2024-02-21,0.0,35.6,21.6,5.76,0.128,Nalgonda,TS
2024-02-22,0.0,35.0,21.9,5.71,0.126,Nalgonda,TS
2024-02-23,1.8,32.3,22.8,4.27,0.131,Nalgonda,TS
2024-02-24,0.0,34.5,22.7,5.09,0.129,Nalgonda,TS
2024-02-25,1.8,32.7,23.3,4.37,0.138,Nalgonda,TS
2024-02-26,0.7,33.8,23.2,5.45,0.148,Nalgonda,TS
2024-02-27,0.0,34.2,22.5,5.35,0.152,Nalgonda,TS
2024-02-28,0.0,34.2,22.6,5.31,0.146,Nalgonda,TS
2024-02-29,0.0,35.1,21.2,5.46,0.139,Nalgonda,TS
2024-03-01,0.0,34.7,21.6,5.4,0.134,Nalgonda,TS
2024-03-02,0.0,36.7,22.0,6.57,0.132,Nalgonda,TS
2024-03-03,0.0,36.6,22.8,6.36,0.13,Nalgonda,TS
2024-03-04,0.0,35.9,22.7,6.11,0.126,Nalgonda,TS
2024-03-05,0.0,35.8,21.7,5.66,0.123,Nalgonda,TS
2024-03-06,0.0,37.6,22.4,5.96,0.115,Nalgonda,TS
2024-03-07,0.0,36.7,23.2,5.72,0.116,Nalgonda,TS
2024-03-08,0.1,37.0,23.7,5.5,0.118,Nalgonda,TS
2024-03-09,0.0,36.3,23.1,5.35,0.116,Nalgonda,TS
2024-03-10,0.0,35.1,25.3,5.79,0.117,Nalgonda,TS
2024-03-11,0.0,35.3,23.9,4.93,0.119,Nalgonda,TS
2024-03-12,0.0,37.5,24.3,5.77,0.118,Nalgonda,TS
2024-03-13,0.0,38.6,25.9,6.36,0.118,Nalgonda,TS
2024-03-14,0.0,37.5,24.8,5.46,0.12,Nalgonda,TS
2024-03-15,0.0,38.1,25.1,6.81,0.118,Nalgonda,TS
2024-03-16,0.0,36.6,24.4,6.0,0.118,Nalgonda,TS
2024-03-17,0.4,36.0,25.0,6.0,0.128,Nalgonda,TS
2024-03-18,0.0,36.6,23.6,4.73,0.132,Nalgonda,TS
2024-03-19,0.3,36.3,25.3,5.81,0.133,Nalgonda,TS
2024-03-20,2.0,31.6,23.1,4.63,0.14,Nalgonda,TS
2024-03-21,0.0,34.9,22.4,5.89,0.139,Nalgonda,TS
2024-03-22,0.0,36.2,22.0,5.84,0.137,Nalgonda,TS
2024-03-23,0.0,37.4,23.1,6.1,0.132,Nalgonda,TS
2024-03-24,0.0,37.0,23.9,5.91,0.13,Nalgonda,TS
2024-03-25,0.0,37.2,23.4,5.51,0.13,Nalgonda,TS
2024-03-26,0.0,37.7,23.5,6.84,0.127,Nalgonda,TS
2024-03-27,0.0,37.6,22.5,6.38,0.128,Nalgonda,TS
2024-03-28,0.0,38.9,23.5,6.44,0.128,Nalgonda,TS
2024-03-29,0.0,39.5,25.2,7.3,0.126,Nalgonda,TS
2024-03-30,0.0,39.5,24.7,6.76,0.129,Nalgonda,TS
2024-03-31,0.0,39.3,24.0,6.61,0.127,Nalgonda,TS
2024-04-01,0.0,39.8,24.6,6.71,0.124,Nalgonda,TS
2024-04-02,0.0,40.1,25.6,6.73,0.122,Nalgonda,TS
2024-04-03,0.0,39.9,25.8,6.87,0.121,Nalgonda,TS
2024-04-04,0.0,40.6,25.3,6.89,0.125,Nalgonda,TS
2024-04-05,0.0,40.9,26.1,6.61,0.126,Nalgonda,TS
2024-04-06,0.0,41.6,26.4,7.04,0.123,Nalgonda,TS
2024-04-07,0.0,42.6,26.7,8.0,0.121,Nalgonda,TS
2024-04-08,0.0,39.4,25.9,8.04,0.12,Nalgonda,TS
2024-04-09,0.0,37.7,25.7,6.64,0.114,Nalgonda,TS
2024-04-10,0.0,38.2,24.9,7.46,0.113,Nalgonda,TS
2024-04-11,0.3,37.4,24.9,6.17,0.112,Nalgonda,TS
2024-04-12,15.4,31.9,24.6,4.34,0.191,Nalgonda,TS
2024-04-13,0.1,37.1,24.6,6.39,0.172,Nalgonda,TS
2024-04-14,0.0,37.7,24.5,6.59,0.168,Nalgonda,TS
2024-04-15,0.0,39.9,24.3,6.81,0.152,Nalgonda,TS
2024-04-16,0.0,40.0,26.2,6.98,0.14,Nalgonda,TS
2024-04-17,0.0,40.7,27.3,6.81,0.129,Nalgonda,TS
2024-04-18,0.0,41.2,26.9,6.62,0.122,Nalgonda,TS
2024-04-19,0.0,41.0,27.9,6.35,0.123,Nalgonda,TS
2024-04-20,1.1,38.9,28.7,5.89,0.141,Nalgonda,TS
2024-04-21,0.0,40.6,27.8,6.77,0.154,Nalgonda,TS
2024-04-22,0.0,41.0,26.5,6.73,0.142,Nalgonda,TS
2024-04-23,0.0,41.0,25.2,6.86,0.129,Nalgonda,TS
2024-04-24,0.0,40.9,25.1,7.17,0.12,Nalgonda,TS
2024-04-25,0.0,41.7,26.9,7.31,0.116,Nalgonda,TS
2024-04-26,0.0,41.9,26.6,7.61,0.116,Nalgonda,TS
2024-04-27,0.0,40.8,26.3,6.78,0.11,Nalgonda,TS
2024-04-28,0.0,43.1,27.5,8.0,0.116,Nalgonda,TS
2024-04-29,0.0,41.9,27.2,7.16,0.113,Nalgonda,TS
2024-04-30,0.0,42.7,27.6,7.5,0.114,Nalgonda,TS
2024-05-01,0.0,44.1,29.0,8.3,0.116,Nalgonda,TS
2024-05-02,0.0,43.1,29.2,7.67,0.114,Nalgonda,TS
2024-05-03,0.0,42.6,27.7,7.28,0.116,Nalgonda,TS
2024-05-04,0.1,43.0,28.3,6.98,0.116,Nalgonda,TS
2024-05-05,0.2,42.3,28.8,6.81,0.116,Nalgonda,TS
2024-05-06,0.0,42.9,28.8,6.89,0.114,Nalgonda,TS
2024-05-07,12.4,36.5,25.5,5.68,0.149,Nalgonda,TS
2024-05-08,0.1,38.7,25.3,6.63,0.166,Nalgonda,TS
2024-05-09,5.4,38.2,27.5,5.41,0.14,Nalgonda,TS
2024-05-10,0.2,38.1,25.5,5.86,0.131,Nalgonda,TS
2024-05-11,0.0,39.5,27.1,7.0,0.132,Nalgonda,TS
2024-05-12,5.1,36.1,27.9,5.69,0.148,Nalgonda,TS
2024-05-13,0.7,36.9,27.6,4.82,0.137,Nalgonda,TS
2024-05-14,0.3,36.3,25.6,5.48,0.159,Nalgonda,TS
2024-05-15,4.3,37.7,26.1,6.21,0.186,Nalgonda,TS
2024-05-16,24.5,32.4,25.5,3.54,0.234,Nalgonda,TS
2024-05-17,13.1,32.6,24.1,4.88,0.305,Nalgonda,TS
2024-05-18,0.5,33.9,25.0,4.17,0.286,Nalgonda,TS
2024-05-19,6.9,35.1,25.4,5.12,0.309,Nalgonda,TS
2024-05-20,10.6,34.3,24.7,4.26,0.314,Nalgonda,TS
2024-05-21,2.1,33.8,26.3,4.7,0.233,Nalgonda,TS
2024-05-22,1.4,35.7,26.2,5.04,0.211,Nalgonda,TS
2024-05-23,0.1,37.2,26.4,6.08,0.194,Nalgonda,TS
2024-05-24,0.0,40.9,28.2,6.74,0.173,Nalgonda,TS
2024-05-25,0.0,37.7,28.8,4.37,0.165,Nalgonda,TS
2024-05-26,0.2,41.3,30.3,7.56,0.16,Nalgonda,TS
2024-05-27,0.0,40.3,30.7,8.37,0.152,Nalgonda,TS
2024-05-28,0.0,39.3,30.3,8.46,0.191,Nalgonda,TS
2024-05-29,0.0,40.9,30.5,7.96,0.19,Nalgonda,TS
2024-05-30,0.0,41.5,31.2,8.17,0.169,Nalgonda,TS
