date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.0,28.4,17.5,4.34,0.142,Narayanpet,TS
2021-12-31,0.0,29.1,18.4,4.68,0.144,Narayanpet,TS
2022-01-01,0.0,29.3,18.9,4.2,0.148,Narayanpet,TS
2022-01-02,0.0,28.2,18.3,4.12,0.152,Narayanpet,TS
2022-01-03,0.0,28.3,17.7,4.27,0.151,Narayanpet,TS
2022-01-04,0.0,28.6,16.5,4.32,0.152,Narayanpet,TS
2022-01-05,0.0,28.0,16.1,4.09,0.153,Narayanpet,TS
2022-01-06,0.0,28.0,16.5,4.04,0.153,Narayanpet,TS
2022-01-07,0.0,28.2,17.3,3.93,0.154,Narayanpet,TS
2022-01-08,0.4,27.7,18.9,3.33,0.161,Narayanpet,TS
2022-01-09,0.2,28.3,18.1,3.41,0.17,Narayanpet,TS
2022-01-10,2.4,27.4,19.2,3.58,0.18,Narayanpet,TS
2022-01-11,0.4,27.9,18.2,3.25,0.185,Narayanpet,TS
2022-01-12,0.4,28.7,18.5,3.88,0.182,Narayanpet,TS
2022-01-13,0.4,27.1,18.1,3.46,0.197,Narayanpet,TS
2022-01-14,1.5,28.8,18.2,3.98,0.2,Narayanpet,TS
2022-01-15,0.3,27.1,17.4,3.46,0.192,Narayanpet,TS
2022-01-16,0.1,27.7,18.1,4.06,0.191,Narayanpet,TS
2022-01-17,0.1,26.9,17.9,3.35,0.191,Narayanpet,TS
2022-01-18,0.0,28.0,17.2,3.86,0.185,Narayanpet,TS
2022-01-19,0.0,29.4,16.7,4.77,0.176,Narayanpet,TS
2022-01-20,0.0,30.4,15.9,4.55,0.171,Narayanpet,TS
2022-01-21,0.0,31.3,18.0,4.82,0.167,Narayanpet,TS
2022-01-22,0.0,31.0,17.5,5.08,0.164,Narayanpet,TS
2022-01-23,0.0,29.6,18.3,5.12,0.161,Narayanpet,TS
2022-01-24,0.0,26.9,18.1,5.03,0.158,Narayanpet,TS
2022-01-25,0.0,27.6,16.2,4.63,0.158,Narayanpet,TS
2022-01-26,0.0,28.4,16.6,4.65,0.158,Narayanpet,TS
2022-01-27,0.0,28.7,18.1,5.18,0.156,Narayanpet,TS
2022-01-28,0.0,27.9,17.0,5.36,0.151,Narayanpet,TS
2022-01-29,0.0,28.7,15.6,5.48,0.141,Narayanpet,TS
2022-01-30,0.0,29.3,15.8,5.0,0.136,Narayanpet,TS
2022-01-31,0.0,31.1,16.7,5.14,0.133,Narayanpet,TS
2022-02-01,0.0,31.1,16.9,4.8,0.133,Narayanpet,TS
2022-02-02,0.0,31.2,17.6,4.99,0.139,Narayanpet,TS
