date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.0,29.2,18.1,3.76,0.272,Nirmal,TS
2023-12-31,0.0,29.8,17.7,3.94,0.277,Nirmal,TS
2024-01-01,0.0,29.4,18.3,3.75,0.278,Nirmal,TS
2024-01-02,0.0,29.3,17.0,3.86,0.28,Nirmal,TS
2024-01-03,0.0,28.9,17.7,3.7,0.285,Nirmal,TS
2024-01-04,0.0,30.0,18.8,3.8,0.286,Nirmal,TS
2024-01-05,0.0,29.3,18.3,3.83,0.289,Nirmal,TS
2024-01-06,0.0,29.5,17.8,4.16,0.281,Nirmal,TS
2024-01-07,0.0,29.2,18.1,3.99,0.279,Nirmal,TS
2024-01-08,0.0,29.9,17.2,4.49,0.285,Nirmal,TS
2024-01-09,0.0,30.8,17.4,4.57,0.283,Nirmal,TS
2024-01-10,0.0,29.2,20.6,3.19,0.28,Nirmal,TS
2024-01-11,0.0,31.1,19.3,3.86,0.276,Nirmal,TS
2024-01-12,0.0,32.0,20.0,4.04,0.271,Nirmal,TS
2024-01-13,0.0,30.9,20.6,3.49,0.27,Nirmal,TS
2024-01-14,0.0,31.8,21.3,4.39,0.271,Nirmal,TS
2024-01-15,0.0,30.4,19.3,4.43,0.269,Nirmal,TS
2024-01-16,0.0,30.1,17.6,4.3,0.267,Nirmal,TS
2024-01-17,0.0,31.2,20.1,4.27,0.26,Nirmal,TS
2024-01-18,0.0,30.9,20.3,4.15,0.261,Nirmal,TS
2024-01-19,0.0,30.8,21.3,4.03,0.261,Nirmal,TS
2024-01-20,0.0,31.1,21.1,4.19,0.263,Nirmal,TS
2024-01-21,0.0,30.8,20.4,4.08,0.262,Nirmal,TS
2024-01-22,0.0,31.3,20.3,4.06,0.26,Nirmal,TS
2024-01-23,0.0,31.4,21.2,4.62,0.261,Nirmal,TS
2024-01-24,0.4,28.9,20.3,4.49,0.269,Nirmal,TS
2024-01-25,0.0,28.5,16.9,4.83,0.27,Nirmal,TS
2024-01-26,0.0,29.4,17.3,4.73,0.27,Nirmal,TS
2024-01-27,0.0,30.4,17.8,4.94,0.259,Nirmal,TS
2024-01-28,0.0,30.6,17.9,4.79,0.254,Nirmal,TS
2024-01-29,0.0,31.0,18.8,4.32,0.253,Nirmal,TS
2024-01-30,0.0,30.5,18.3,4.45,0.252,Nirmal,TS
2024-01-31,0.0,31.7,18.8,4.74,0.254,Nirmal,TS
2024-02-01,0.0,31.9,19.7,5.03,0.255,Nirmal,TS
2024-02-02,0.0,31.8,20.2,4.93,0.255,Nirmal,TS
2024-02-03,0.0,31.9,20.0,4.98,0.257,Nirmal,TS
2024-02-04,0.0,32.9,20.4,5.05,0.254,Nirmal,TS
2024-02-05,0.0,34.4,20.8,4.82,0.253,Nirmal,TS
2024-02-06,0.0,34.7,20.8,5.22,0.253,Nirmal,TS
2024-02-07,0.0,34.7,21.8,5.39,0.255,Nirmal,TS
2024-02-08,0.0,31.8,22.0,5.71,0.253,Nirmal,TS
2024-02-09,0.0,32.7,19.5,5.24,0.253,Nirmal,TS
2024-02-10,0.1,34.0,22.2,5.26,0.253,Nirmal,TS
2024-02-11,1.7,33.3,21.6,4.92,0.254,Nirmal,TS
2024-02-12,0.0,32.8,21.7,5.4,0.255,Nirmal,TS
2024-02-13,0.0,33.3,21.0,5.29,0.26,Nirmal,TS
2024-02-14,0.0,33.5,20.8,5.2,0.271,Nirmal,TS
2024-02-15,0.0,32.9,21.1,4.99,0.279,Nirmal,TS
2024-02-16,0.0,33.8,20.0,5.43,0.279,Nirmal,TS
2024-02-17,0.0,33.7,19.6,5.08,0.285,Nirmal,TS
2024-02-18,0.0,34.2,22.0,5.23,0.292,Nirmal,TS
2024-02-19,0.0,34.3,21.6,5.65,0.299,Nirmal,TS
2024-02-20,0.0,34.8,21.3,6.02,0.296,Nirmal,TS
2024-02-21,0.0,34.2,21.2,6.28,0.291,Nirmal,TS
2024-02-22,0.0,32.6,21.5,6.27,0.279,Nirmal,TS
2024-02-23,0.0,31.9,19.1,5.42,0.273,Nirmal,TS
2024-02-24,0.0,33.8,19.0,6.0,0.273,Nirmal,TS
2024-02-25,1.3,31.6,22.0,4.81,0.281,Nirmal,TS
2024-02-26,1.4,32.6,22.8,4.83,0.28,Nirmal,TS
2024-02-27,0.0,34.2,22.5,5.4,0.277,Nirmal,TS
2024-02-28,0.0,34.3,23.0,5.5,0.272,Nirmal,TS
2024-02-29,0.0,34.9,22.2,5.44,0.275,Nirmal,TS
2024-03-01,0.0,37.0,22.5,5.92,0.278,Nirmal,TS
2024-03-02,0.0,35.6,23.6,5.31,0.28,Nirmal,TS
2024-03-03,0.0,35.3,23.6,6.21,0.287,Nirmal,TS
2024-03-04,0.0,34.0,22.5,6.38,0.284,Nirmal,TS
2024-03-05,0.0,33.9,21.7,6.08,0.283,Nirmal,TS
2024-03-06,0.0,37.0,23.1,6.31,0.278,Nirmal,TS
2024-03-07,0.0,36.1,22.4,6.83,0.279,Nirmal,TS
2024-03-08,0.0,35.9,22.3,7.41,0.275,Nirmal,TS
2024-03-09,0.0,36.4,21.3,6.7,0.274,Nirmal,TS
2024-03-10,0.0,35.9,22.7,6.04,0.27,Nirmal,TS
2024-03-11,0.0,37.1,24.9,5.69,0.26,Nirmal,TS
2024-03-12,0.0,38.4,23.8,6.05,0.255,Nirmal,TS
2024-03-13,0.0,37.8,25.3,7.36,0.254,Nirmal,TS
2024-03-14,0.0,37.0,23.1,7.19,0.253,Nirmal,TS
2024-03-15,0.1,35.5,24.1,5.74,0.253,Nirmal,TS
2024-03-16,0.0,35.8,24.1,6.04,0.253,Nirmal,TS
2024-03-17,4.3,33.8,23.8,4.99,0.276,Nirmal,TS
2024-03-18,0.0,34.8,23.6,5.39,0.3,Nirmal,TS
2024-03-19,0.0,35.5,23.8,5.9,0.292,Nirmal,TS
2024-03-20,0.0,33.7,20.4,6.33,0.294,Nirmal,TS
2024-03-21,0.0,35.1,19.8,6.15,0.29,Nirmal,TS
2024-03-22,0.0,36.6,21.8,6.26,0.287,Nirmal,TS
2024-03-23,0.0,37.6,22.3,6.54,0.283,Nirmal,TS
2024-03-24,0.0,37.5,24.7,5.82,0.282,Nirmal,TS
2024-03-25,0.0,37.1,25.1,6.26,0.286,Nirmal,TS
2024-03-26,0.0,38.3,25.4,6.55,0.288,Nirmal,TS
2024-03-27,0.0,39.1,24.4,6.81,0.285,Nirmal,TS
2024-03-28,0.0,39.2,25.6,6.41,0.284,Nirmal,TS
2024-03-29,0.0,40.5,27.2,6.82,0.283,Nirmal,TS
2024-03-30,0.0,39.6,26.4,6.76,0.291,Nirmal,TS
2024-03-31,0.0,37.0,27.0,5.98,0.297,Nirmal,TS
2024-04-01,0.0,39.8,26.6,6.76,0.297,Nirmal,TS
2024-04-02,0.0,39.9,25.7,6.34,0.296,Nirmal,TS
2024-04-03,0.0,39.5,25.4,6.39,0.285,Nirmal,TS
