date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.4,26.5,16.9,3.25,0.218,Nizamabad,TS
2021-12-31,0.0,27.8,16.5,3.58,0.229,Nizamabad,TS
2022-01-01,0.0,28.0,17.2,3.48,0.238,Nizamabad,TS
2022-01-02,0.0,28.0,17.0,3.77,0.239,Nizamabad,TS
2022-01-03,0.0,27.6,16.4,3.89,0.232,Nizamabad,TS
2022-01-04,0.0,28.2,16.5,4.13,0.229,Nizamabad,TS
2022-01-05,0.0,29.0,16.0,3.81,0.228,Nizamabad,TS
2022-01-06,0.0,29.6,18.5,4.42,0.228,Nizamabad,TS
2022-01-07,0.0,29.3,19.0,4.66,0.23,Nizamabad,TS
2022-01-08,0.9,28.4,19.3,3.49,0.234,Nizamabad,TS
2022-01-09,0.5,28.8,20.1,3.81,0.236,Nizamabad,TS
2022-01-10,2.6,27.2,18.0,2.71,0.252,Nizamabad,TS
2022-01-11,3.6,22.9,17.8,1.72,0.299,Nizamabad,TS
2022-01-12,0.6,26.1,16.3,2.74,0.353,Nizamabad,TS
2022-01-13,4.1,23.6,17.8,1.83,0.361,Nizamabad,TS
2022-01-14,1.2,26.2,17.1,2.67,0.373,Nizamabad,TS
2022-01-15,0.7,24.5,16.0,2.62,0.367,Nizamabad,TS
2022-01-16,0.0,25.9,16.4,3.09,0.36,Nizamabad,TS
2022-01-17,0.0,26.8,17.3,3.27,0.35,Nizamabad,TS
2022-01-18,0.0,26.6,16.3,3.57,0.329,Nizamabad,TS
2022-01-19,0.0,26.5,15.8,3.66,0.308,Nizamabad,TS
2022-01-20,0.0,28.4,15.7,3.98,0.291,Nizamabad,TS
2022-01-21,0.0,29.0,17.1,4.42,0.28,Nizamabad,TS
2022-01-22,0.0,30.5,16.9,4.65,0.271,Nizamabad,TS
2022-01-23,0.0,27.5,18.1,3.86,0.264,Nizamabad,TS
2022-01-24,0.0,24.6,15.0,3.93,0.258,Nizamabad,TS
2022-01-25,0.0,25.2,13.2,3.86,0.254,Nizamabad,TS
2022-01-26,0.0,25.3,14.3,4.06,0.251,Nizamabad,TS
2022-01-27,0.0,25.3,14.5,4.22,0.249,Nizamabad,TS
2022-01-28,0.0,25.0,13.2,4.24,0.243,Nizamabad,TS
2022-01-29,0.0,25.7,12.3,4.3,0.236,Nizamabad,TS
2022-01-30,0.0,28.0,14.2,4.27,0.227,Nizamabad,TS
2022-01-31,0.0,30.0,14.8,4.56,0.222,Nizamabad,TS
2022-02-01,0.0,30.0,14.1,4.5,0.224,Nizamabad,TS
2022-02-02,0.0,31.1,14.1,4.62,0.227,Nizamabad,TS
2022-02-03,0.0,32.7,18.9,5.59,0.229,Nizamabad,TS
2022-02-04,0.0,26.8,16.7,4.76,0.231,Nizamabad,TS
2022-02-05,0.0,27.8,14.6,4.76,0.229,Nizamabad,TS
2022-02-06,0.0,29.7,16.4,5.17,0.227,Nizamabad,TS
2022-02-07,0.0,30.8,17.8,4.99,0.223,Nizamabad,TS
2022-02-08,0.0,31.1,19.2,4.67,0.221,Nizamabad,TS
2022-02-09,0.0,31.3,19.8,4.85,0.221,Nizamabad,TS
2022-02-10,0.0,30.3,20.0,4.37,0.22,Nizamabad,TS
2022-02-11,0.0,28.7,18.0,4.92,0.219,Nizamabad,TS
2022-02-12,0.0,29.4,16.9,5.22,0.218,Nizamabad,TS
2022-02-13,0.0,29.8,16.3,5.48,0.218,Nizamabad,TS
2022-02-14,0.0,31.0,18.3,5.87,0.217,Nizamabad,TS
2022-02-15,0.0,31.5,20.1,5.35,0.213,Nizamabad,TS
2022-02-16,1.3,29.8,21.6,4.7,0.22,Nizamabad,TS
2022-02-17,0.0,30.6,18.9,4.73,0.219,Nizamabad,TS
2022-02-18,0.0,31.8,19.4,4.85,0.217,Nizamabad,TS
2022-02-19,0.0,33.0,22.1,6.2,0.217,Nizamabad,TS
2022-02-20,0.0,32.8,21.1,6.22,0.216,Nizamabad,TS
2022-02-21,0.0,32.3,19.6,5.46,0.216,Nizamabad,TS
2022-02-22,0.0,33.7,17.6,5.74,0.215,Nizamabad,TS
2022-02-23,0.0,34.5,20.9,5.9,0.215,Nizamabad,TS
2022-02-24,0.0,33.8,21.5,5.83,0.215,Nizamabad,TS
2022-02-25,0.0,33.7,21.0,5.77,0.215,Nizamabad,TS
2022-02-26,0.0,34.5,21.7,6.46,0.215,Nizamabad,TS
2022-02-27,0.0,33.8,21.4,6.04,0.215,Nizamabad,TS
2022-02-28,0.0,35.0,22.0,6.06,0.215,Nizamabad,TS
2022-03-01,0.0,34.5,22.5,6.46,0.215,Nizamabad,TS
2022-03-02,0.0,34.6,21.8,6.02,0.215,Nizamabad,TS
2022-03-03,0.0,34.6,21.0,6.04,0.215,Nizamabad,TS
2022-03-04,0.0,34.4,21.0,5.97,0.217,Nizamabad,TS
2022-03-05,0.0,33.9,21.4,5.79,0.217,Nizamabad,TS
2022-03-06,0.0,34.2,22.2,6.54,0.216,Nizamabad,TS
2022-03-07,0.0,34.0,21.5,5.62,0.215,Nizamabad,TS
2022-03-08,0.0,34.8,22.8,6.01,0.215,Nizamabad,TS
2022-03-09,0.0,35.3,21.4,6.05,0.215,Nizamabad,TS
2022-03-10,0.0,34.7,20.9,5.65,0.212,Nizamabad,TS
2022-03-11,0.1,34.5,23.2,5.01,0.197,Nizamabad,TS
2022-03-12,0.1,34.4,21.9,5.43,0.195,Nizamabad,TS
2022-03-13,0.0,35.2,21.4,6.42,0.196,Nizamabad,TS
2022-03-14,0.0,35.8,19.6,6.46,0.192,Nizamabad,TS
2022-03-15,0.0,36.5,18.9,6.69,0.191,Nizamabad,TS
2022-03-16,0.0,38.4,21.6,7.71,0.197,Nizamabad,TS
2022-03-17,0.0,38.8,22.7,7.17,0.192,Nizamabad,TS
2022-03-18,0.0,38.5,23.3,7.2,0.192,Nizamabad,TS
2022-03-19,0.0,37.4,23.9,6.43,0.192,Nizamabad,TS
2022-03-20,0.0,37.5,25.4,6.77,0.192,Nizamabad,TS
2022-03-21,0.0,37.0,24.2,6.87,0.193,Nizamabad,TS
2022-03-22,0.0,37.2,23.3,6.01,0.193,Nizamabad,TS
2022-03-23,0.0,38.7,23.9,6.58,0.193,Nizamabad,TS
2022-03-24,0.0,36.8,25.6,5.66,0.193,Nizamabad,TS
2022-03-25,0.0,36.0,25.4,5.57,0.193,Nizamabad,TS
2022-03-26,0.0,36.9,25.6,5.98,0.194,Nizamabad,TS
2022-03-27,0.0,39.3,24.6,6.31,0.194,Nizamabad,TS
2022-03-28,0.0,39.8,23.8,6.88,0.198,Nizamabad,TS
2022-03-29,0.0,39.6,24.3,6.66,0.197,Nizamabad,TS
2022-03-30,0.0,39.7,23.7,6.97,0.194,Nizamabad,TS
2022-03-31,0.0,40.3,24.2,7.53,0.194,Nizamabad,TS
2022-04-01,0.0,39.6,23.7,6.83,0.194,Nizamabad,TS
2022-04-02,0.0,39.8,23.7,7.07,0.198,Nizamabad,TS
2022-04-03,0.0,39.0,24.9,6.78,0.197,Nizamabad,TS
2022-04-04,0.0,38.6,26.9,6.57,0.195,Nizamabad,TS
2022-04-05,0.0,39.7,26.7,7.22,0.19,Nizamabad,TS
2022-04-06,0.0,39.9,26.8,7.6,0.191,Nizamabad,TS
2022-04-07,0.0,39.6,27.3,7.52,0.195,Nizamabad,TS
2022-04-08,0.0,38.8,26.9,6.9,0.195,Nizamabad,TS
