date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.0,30.1,17.1,3.91,0.225,Peddapalli,TS
2023-12-31,0.0,30.3,17.6,3.84,0.226,Peddapalli,TS
2024-01-01,0.0,30.1,19.1,3.75,0.227,Peddapalli,TS
2024-01-02,0.0,30.0,18.0,3.86,0.225,Peddapalli,TS
2024-01-03,0.0,30.0,18.9,4.13,0.223,Peddapalli,TS
2024-01-04,0.0,30.9,19.0,4.42,0.224,Peddapalli,TS
2024-01-05,0.0,30.6,18.8,4.48,0.223,Peddapalli,TS
2024-01-06,0.0,30.8,18.2,4.22,0.223,Peddapalli,TS
2024-01-07,0.0,30.2,18.6,3.99,0.222,Peddapalli,TS
2024-01-08,0.0,31.2,17.3,4.77,0.221,Peddapalli,TS
2024-01-09,0.0,31.5,17.7,4.51,0.221,Peddapalli,TS
2024-01-10,0.3,31.1,20.0,3.53,0.221,Peddapalli,TS
2024-01-11,0.0,32.3,21.6,4.26,0.222,Peddapalli,TS
2024-01-12,0.0,33.0,20.6,4.22,0.219,Peddapalli,TS
2024-01-13,0.0,33.0,21.7,4.42,0.222,Peddapalli,TS
2024-01-14,0.0,33.9,21.4,4.49,0.222,Peddapalli,TS
2024-01-15,0.0,33.0,22.7,4.34,0.223,Peddapalli,TS
2024-01-16,0.0,32.1,20.3,4.59,0.223,Peddapalli,TS
2024-01-17,0.0,32.2,21.2,5.11,0.222,Peddapalli,TS
2024-01-18,0.0,31.2,20.6,4.68,0.225,Peddapalli,TS
2024-01-19,0.1,31.9,22.1,4.25,0.222,Peddapalli,TS
2024-01-20,0.2,30.4,21.1,4.01,0.223,Peddapalli,TS
2024-01-21,0.0,32.1,21.1,4.4,0.223,Peddapalli,TS
2024-01-22,0.0,33.4,21.4,4.7,0.222,Peddapalli,TS
2024-01-23,0.0,33.6,22.0,4.95,0.223,Peddapalli,TS
2024-01-24,0.7,29.3,21.6,3.39,0.234,Peddapalli,TS
2024-01-25,0.0,29.6,18.8,4.54,0.247,Peddapalli,TS
2024-01-26,0.0,31.6,17.4,4.03,0.239,Peddapalli,TS
2024-01-27,0.0,31.2,18.3,4.58,0.232,Peddapalli,TS
2024-01-28,0.0,31.4,16.4,4.63,0.234,Peddapalli,TS
2024-01-29,0.0,31.8,18.1,4.57,0.235,Peddapalli,TS
2024-01-30,0.0,31.8,19.1,4.8,0.235,Peddapalli,TS
2024-01-31,0.0,31.9,20.0,5.24,0.228,Peddapalli,TS
2024-02-01,0.4,33.4,20.8,4.76,0.219,Peddapalli,TS
