date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,1.1,25.7,19.0,2.33,0.164,Rajanna Sircilla,TS
2020-01-01,0.3,27.7,19.0,2.53,0.166,Rajanna Sircilla,TS
2020-01-02,3.9,28.0,20.3,2.64,0.168,Rajanna Sircilla,TS
2020-01-03,24.0,24.0,18.2,1.46,0.311,Rajanna Sircilla,TS
2020-01-04,0.0,26.2,17.8,2.55,0.295,Rajanna Sircilla,TS
2020-01-05,0.0,25.7,16.5,3.14,0.265,Rajanna Sircilla,TS
2020-01-06,0.0,27.8,14.9,3.33,0.242,Rajanna Sircilla,TS
2020-01-07,0.1,28.7,18.0,2.79,0.226,Rajanna Sircilla,TS
2020-01-08,0.1,29.9,21.0,3.69,0.214,Rajanna Sircilla,TS
2020-01-09,1.3,26.7,19.5,2.19,0.205,Rajanna Sircilla,TS
2020-01-10,0.0,25.6,17.9,3.58,0.193,Rajanna Sircilla,TS
2020-01-11,0.0,26.9,15.0,3.57,0.178,Rajanna Sircilla,TS
2020-01-12,0.0,27.4,14.9,3.67,0.163,Rajanna Sircilla,TS
2020-01-13,0.0,28.9,12.8,3.87,0.15,Rajanna Sircilla,TS
2020-01-14,0.0,30.3,14.4,4.04,0.14,Rajanna Sircilla,TS
2020-01-15,0.0,29.5,17.2,4.36,0.136,Rajanna Sircilla,TS
2020-01-16,0.0,29.2,17.1,4.4,0.135,Rajanna Sircilla,TS
2020-01-17,0.0,28.5,19.2,2.95,0.135,Rajanna Sircilla,TS
2020-01-18,0.0,30.1,19.9,3.44,0.136,Rajanna Sircilla,TS
2020-01-19,0.0,29.8,19.1,3.62,0.136,Rajanna Sircilla,TS
2020-01-20,0.3,28.3,19.1,2.85,0.134,Rajanna Sircilla,TS
2020-01-21,0.0,30.0,18.9,3.92,0.133,Rajanna Sircilla,TS
2020-01-22,0.0,30.4,19.6,4.26,0.132,Rajanna Sircilla,TS
2020-01-23,0.0,30.7,16.9,4.31,0.131,Rajanna Sircilla,TS
2020-01-24,0.0,30.2,17.5,4.13,0.128,Rajanna Sircilla,TS
2020-01-25,0.0,30.6,17.8,4.04,0.126,Rajanna Sircilla,TS
2020-01-26,0.0,31.7,18.1,4.24,0.125,Rajanna Sircilla,TS
2020-01-27,0.0,32.4,19.4,4.56,0.124,Rajanna Sircilla,TS
2020-01-28,0.0,32.1,21.2,4.85,0.127,Rajanna Sircilla,TS
2020-01-29,0.0,30.8,20.7,4.27,0.136,Rajanna Sircilla,TS
2020-01-30,0.0,29.5,19.6,4.32,0.136,Rajanna Sircilla,TS
2020-01-31,0.0,29.1,17.0,4.25,0.135,Rajanna Sircilla,TS
2020-02-01,0.7,30.4,19.1,4.05,0.133,Rajanna Sircilla,TS
2020-02-02,0.0,27.6,18.3,2.42,0.126,Rajanna Sircilla,TS
2020-02-03,0.0,30.5,19.5,3.78,0.125,Rajanna Sircilla,TS
2020-02-04,0.0,31.6,20.8,4.61,0.126,Rajanna Sircilla,TS
2020-02-05,0.0,29.8,21.3,3.7,0.125,Rajanna Sircilla,TS
2020-02-06,0.2,31.5,20.2,4.16,0.123,Rajanna Sircilla,TS
2020-02-07,0.8,30.0,20.6,4.06,0.123,Rajanna Sircilla,TS
2020-02-08,48.0,26.4,20.0,2.23,0.248,Rajanna Sircilla,TS
