date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,26.1,14.6,3.69,0.186,Rangareddy,TS
2025-12-30,0.0,26.5,13.9,3.54,0.191,Rangareddy,TS
2025-12-31,0.0,27.1,13.7,3.57,0.206,Rangareddy,TS
2026-01-01,0.0,27.9,15.9,3.52,0.218,Rangareddy,TS
2026-01-02,0.0,27.6,16.7,3.4,0.244,Rangareddy,TS
2026-01-03,0.0,27.1,17.1,3.47,0.259,Rangareddy,TS
2026-01-04,0.0,26.4,16.4,3.57,0.267,Rangareddy,TS
2026-01-05,0.0,26.3,15.3,3.83,0.282,Rangareddy,TS
2026-01-06,0.0,26.2,15.2,3.9,0.291,Rangareddy,TS
2026-01-07,0.0,26.1,14.0,4.0,0.297,Rangareddy,TS
2026-01-08,0.0,25.8,13.7,3.96,0.297,Rangareddy,TS
2026-01-09,0.0,25.0,13.8,3.94,0.294,Rangareddy,TS
2026-01-10,0.0,25.0,14.8,4.05,0.305,Rangareddy,TS
2026-01-11,0.0,25.2,14.6,3.33,0.315,Rangareddy,TS
2026-01-12,0.0,26.1,16.4,3.81,0.282,Rangareddy,TS
2026-01-13,0.0,28.4,16.5,3.83,0.274,Rangareddy,TS
2026-01-14,0.0,28.2,16.9,3.4,0.277,Rangareddy,TS
2026-01-15,0.0,29.1,17.7,3.74,0.282,Rangareddy,TS
2026-01-16,0.0,28.5,16.8,4.11,0.291,Rangareddy,TS
2026-01-17,0.0,29.2,15.9,4.01,0.31,Rangareddy,TS
2026-01-18,0.0,29.0,14.5,4.11,0.302,Rangareddy,TS
2026-01-19,0.0,28.8,15.5,4.26,0.292,Rangareddy,TS
2026-01-20,0.0,28.1,16.0,4.39,0.29,Rangareddy,TS
2026-01-21,0.0,26.7,16.1,4.36,0.274,Rangareddy,TS
2026-01-22,0.0,26.5,15.4,4.36,0.286,Rangareddy,TS
2026-01-23,0.0,26.5,15.8,4.32,0.282,Rangareddy,TS
2026-01-24,0.0,27.4,15.8,3.74,0.265,Rangareddy,TS
2026-01-25,0.0,27.9,16.6,3.75,0.256,Rangareddy,TS
2026-01-26,0.0,28.1,17.4,3.92,0.248,Rangareddy,TS
2026-01-27,0.0,28.4,17.5,4.01,0.237,Rangareddy,TS
2026-01-28,0.0,29.0,17.1,3.7,0.227,Rangareddy,TS
2026-01-29,0.0,28.8,17.5,4.41,0.216,Rangareddy,TS
2026-01-30,0.0,28.0,17.0,4.16,0.206,Rangareddy,TS
2026-01-31,0.0,27.3,16.7,4.45,0.206,Rangareddy,TS
2026-02-01,0.0,27.3,15.7,4.2,0.2,Rangareddy,TS
2026-02-02,0.0,27.8,15.7,4.28,0.198,Rangareddy,TS
2026-02-03,0.0,27.4,17.5,4.13,0.194,Rangareddy,TS
2026-02-04,0.0,27.8,17.5,4.46,0.191,Rangareddy,TS
2026-02-05,0.0,27.8,16.3,4.43,0.176,Rangareddy,TS
2026-02-06,0.0,28.4,16.5,4.56,0.167,Rangareddy,TS
2026-02-07,0.0,29.6,15.9,4.66,0.159,Rangareddy,TS
2026-02-08,0.0,29.4,17.3,4.97,0.17,Rangareddy,TS
2026-02-09,0.0,29.8,15.5,4.5,0.168,Rangareddy,TS
2026-02-10,0.0,30.0,14.9,4.92,0.16,Rangareddy,TS
2026-02-11,0.0,29.3,15.8,4.79,0.147,Rangareddy,TS
2026-02-12,0.0,29.3,15.8,4.84,0.145,Rangareddy,TS
2026-02-13,0.0,29.6,15.9,4.94,0.137,Rangareddy,TS
