date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.3,27.6,17.2,3.76,0.259,Sangareddy,TS
2021-12-31,0.0,28.7,16.5,3.89,0.266,Sangareddy,TS
2022-01-01,0.0,28.3,17.3,3.64,0.263,Sangareddy,TS
2022-01-02,0.0,28.7,16.7,3.91,0.263,Sangareddy,TS
2022-01-03,0.0,27.9,15.8,3.98,0.265,Sangareddy,TS
2022-01-04,0.0,28.3,15.1,4.03,0.265,Sangareddy,TS
2022-01-05,0.0,28.9,15.6,4.19,0.263,Sangareddy,TS
2022-01-06,0.0,28.8,16.7,4.6,0.261,Sangareddy,TS
2022-01-07,0.0,28.8,17.3,4.34,0.259,Sangareddy,TS
2022-01-08,0.0,28.7,18.4,3.46,0.257,Sangareddy,TS
2022-01-09,0.3,29.4,18.6,3.95,0.259,Sangareddy,TS
2022-01-10,3.6,27.4,18.5,3.12,0.288,Sangareddy,TS
2022-01-11,1.6,27.6,17.4,2.23,0.297,Sangareddy,TS
2022-01-12,0.1,28.4,17.0,3.18,0.307,Sangareddy,TS
2022-01-13,9.0,25.2,17.8,2.16,0.335,Sangareddy,TS
2022-01-14,0.9,28.6,18.0,3.92,0.312,Sangareddy,TS
2022-01-15,0.5,26.0,17.9,3.03,0.306,Sangareddy,TS
2022-01-16,0.0,27.8,16.5,3.52,0.305,Sangareddy,TS
2022-01-17,0.9,26.1,16.4,3.25,0.308,Sangareddy,TS
2022-01-18,0.0,27.4,16.2,3.99,0.3,Sangareddy,TS
2022-01-19,0.0,27.4,15.7,4.2,0.289,Sangareddy,TS
2022-01-20,0.0,29.3,14.4,4.39,0.282,Sangareddy,TS
2022-01-21,0.0,29.8,15.5,4.87,0.279,Sangareddy,TS
2022-01-22,0.0,31.4,15.2,5.15,0.276,Sangareddy,TS
2022-01-23,0.0,28.6,17.1,4.56,0.273,Sangareddy,TS
2022-01-24,0.0,26.3,15.9,4.21,0.271,Sangareddy,TS
2022-01-25,0.0,27.5,13.2,3.91,0.27,Sangareddy,TS
2022-01-26,0.0,27.4,14.0,4.41,0.272,Sangareddy,TS
2022-01-27,0.0,27.1,15.0,4.55,0.27,Sangareddy,TS
2022-01-28,0.0,26.5,13.0,4.58,0.267,Sangareddy,TS
2022-01-29,0.0,27.3,13.3,4.45,0.264,Sangareddy,TS
2022-01-30,0.0,28.7,13.0,4.41,0.262,Sangareddy,TS
2022-01-31,0.0,30.1,12.9,4.78,0.26,Sangareddy,TS
2022-02-01,0.0,30.9,14.2,4.93,0.259,Sangareddy,TS
2022-02-02,0.0,31.6,15.8,4.97,0.257,Sangareddy,TS
2022-02-03,0.0,31.5,18.5,5.79,0.256,Sangareddy,TS
2022-02-04,0.0,27.5,17.5,5.36,0.255,Sangareddy,TS
2022-02-05,0.0,29.2,14.9,4.73,0.254,Sangareddy,TS
2022-02-06,0.0,29.5,14.6,5.09,0.253,Sangareddy,TS
2022-02-07,0.0,31.0,17.4,4.97,0.253,Sangareddy,TS
2022-02-08,0.0,32.4,18.6,4.7,0.253,Sangareddy,TS
2022-02-09,0.0,32.7,19.4,5.24,0.252,Sangareddy,TS
2022-02-10,0.0,30.6,18.3,4.38,0.252,Sangareddy,TS
2022-02-11,0.0,29.6,18.9,4.97,0.252,Sangareddy,TS
2022-02-12,0.0,29.6,16.5,5.13,0.252,Sangareddy,TS
2022-02-13,0.0,29.7,15.3,5.23,0.252,Sangareddy,TS
2022-02-14,0.0,30.4,16.2,5.25,0.252,Sangareddy,TS
2022-02-15,0.0,30.9,17.5,4.84,0.252,Sangareddy,TS
2022-02-16,0.0,31.4,19.0,4.83,0.251,Sangareddy,TS
2022-02-17,0.0,31.5,19.2,4.71,0.251,Sangareddy,TS
2022-02-18,0.0,31.5,20.2,4.99,0.251,Sangareddy,TS
2022-02-19,0.0,32.2,19.8,6.06,0.251,Sangareddy,TS
2022-02-20,0.0,33.8,20.7,6.1,0.251,Sangareddy,TS
2022-02-21,0.0,32.5,18.4,5.77,0.251,Sangareddy,TS
2022-02-22,0.0,33.5,17.4,5.84,0.251,Sangareddy,TS
2022-02-23,0.0,33.2,19.5,6.01,0.251,Sangareddy,TS
2022-02-24,0.0,34.0,20.0,6.25,0.251,Sangareddy,TS
2022-02-25,0.0,33.9,20.1,5.88,0.251,Sangareddy,TS
2022-02-26,0.0,33.3,19.1,7.27,0.251,Sangareddy,TS
2022-02-27,0.0,33.2,19.1,6.78,0.251,Sangareddy,TS
2022-02-28,0.0,33.5,19.8,7.12,0.251,Sangareddy,TS
2022-03-01,0.0,33.9,20.1,6.38,0.251,Sangareddy,TS
2022-03-02,0.0,34.2,19.0,6.16,0.251,Sangareddy,TS
2022-03-03,0.0,34.1,20.0,6.69,0.251,Sangareddy,TS
2022-03-04,0.0,34.2,19.8,6.08,0.251,Sangareddy,TS
2022-03-05,0.0,33.5,19.2,5.84,0.251,Sangareddy,TS
2022-03-06,0.0,33.9,20.1,6.46,0.251,Sangareddy,TS
2022-03-07,0.0,33.7,19.6,5.77,0.251,Sangareddy,TS
2022-03-08,0.0,33.9,19.5,5.33,0.251,Sangareddy,TS
2022-03-09,0.0,34.5,21.0,5.88,0.251,Sangareddy,TS
2022-03-10,0.0,34.1,20.4,5.67,0.251,Sangareddy,TS
2022-03-11,0.0,34.0,21.5,4.99,0.251,Sangareddy,TS
2022-03-12,0.0,32.8,23.0,4.51,0.252,Sangareddy,TS
2022-03-13,0.0,34.9,21.5,5.93,0.252,Sangareddy,TS
2022-03-14,0.0,35.2,21.6,6.75,0.251,Sangareddy,TS
2022-03-15,0.0,35.8,20.3,6.44,0.251,Sangareddy,TS
2022-03-16,0.0,37.3,20.4,7.19,0.251,Sangareddy,TS
2022-03-17,0.0,38.3,20.2,7.47,0.251,Sangareddy,TS
2022-03-18,0.0,38.4,23.7,7.35,0.251,Sangareddy,TS
2022-03-19,0.0,36.2,23.5,5.92,0.251,Sangareddy,TS
2022-03-20,0.0,35.8,24.0,6.33,0.251,Sangareddy,TS
2022-03-21,0.0,36.7,24.2,6.24,0.251,Sangareddy,TS
2022-03-22,0.0,36.2,23.8,5.85,0.251,Sangareddy,TS
2022-03-23,0.0,37.8,23.4,6.19,0.251,Sangareddy,TS
2022-03-24,0.0,36.6,23.6,5.93,0.251,Sangareddy,TS
2022-03-25,0.0,37.2,23.5,6.11,0.251,Sangareddy,TS
2022-03-26,0.0,36.6,25.2,5.64,0.251,Sangareddy,TS
2022-03-27,0.0,37.8,24.5,6.51,0.25,Sangareddy,TS
2022-03-28,0.0,38.9,24.1,6.68,0.25,Sangareddy,TS
2022-03-29,0.0,39.3,23.9,7.49,0.251,Sangareddy,TS
2022-03-30,0.0,39.3,22.6,7.23,0.251,Sangareddy,TS
2022-03-31,0.0,39.4,23.6,7.38,0.251,Sangareddy,TS
2022-04-01,0.0,38.3,23.2,6.9,0.251,Sangareddy,TS
2022-04-02,0.0,38.1,24.3,6.8,0.251,Sangareddy,TS
2022-04-03,0.0,38.2,24.6,6.61,0.251,Sangareddy,TS
2022-04-04,0.0,38.1,25.7,6.88,0.251,Sangareddy,TS
2022-04-05,0.0,38.4,25.3,6.89,0.251,Sangareddy,TS
2022-04-06,0.0,37.6,25.0,6.5,0.251,Sangareddy,TS
2022-04-07,0.0,38.2,24.9,7.14,0.251,Sangareddy,TS
2022-04-08,0.0,38.2,25.2,6.43,0.251,Sangareddy,TS
2022-04-09,0.0,37.8,25.1,6.81,0.251,Sangareddy,TS
2022-04-10,0.0,38.3,25.1,6.53,0.251,Sangareddy,TS
2022-04-11,0.0,38.5,25.3,6.87,0.251,Sangareddy,TS
2022-04-12,0.0,39.7,25.5,7.44,0.251,Sangareddy,TS
2022-04-13,0.0,39.2,25.2,7.13,0.251,Sangareddy,TS
2022-04-14,0.0,38.9,25.5,6.53,0.251,Sangareddy,TS
2022-04-15,0.8,38.5,27.4,5.89,0.257,Sangareddy,TS
2022-04-16,0.5,38.4,25.4,6.21,0.268,Sangareddy,TS
2022-04-17,0.0,38.1,25.4,6.24,0.266,Sangareddy,TS
2022-04-18,0.0,38.5,25.6,7.07,0.267,Sangareddy,TS
2022-04-19,0.0,39.1,25.0,7.06,0.261,Sangareddy,TS
2022-04-20,0.0,39.9,25.8,7.47,0.258,Sangareddy,TS
2022-04-21,0.0,38.4,26.4,6.75,0.256,Sangareddy,TS
2022-04-22,2.7,37.2,26.5,5.58,0.256,Sangareddy,TS
2022-04-23,1.6,36.8,25.7,5.85,0.254,Sangareddy,TS
2022-04-24,0.0,36.6,25.7,6.33,0.254,Sangareddy,TS
2022-04-25,0.1,39.5,25.7,6.68,0.254,Sangareddy,TS
2022-04-26,0.0,38.7,26.3,6.46,0.252,Sangareddy,TS
