date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,25.2,14.7,3.45,0.147,Siddipet,TS
2014-01-02,0.0,25.9,13.9,3.54,0.145,Siddipet,TS
2014-01-03,0.0,26.5,16.7,3.83,0.144,Siddipet,TS
2014-01-04,0.0,26.7,14.1,3.73,0.142,Siddipet,TS
2014-01-05,0.0,27.7,15.8,4.12,0.14,Siddipet,TS
2014-01-06,0.0,28.0,17.5,4.01,0.139,Siddipet,TS
2014-01-07,0.0,27.1,17.4,3.98,0.137,Siddipet,TS
2014-01-08,0.0,27.2,15.4,4.16,0.136,Siddipet,TS
2014-01-09,0.0,27.3,16.6,4.09,0.134,Siddipet,TS
2014-01-10,0.0,27.3,17.0,3.93,0.133,Siddipet,TS
2014-01-11,0.0,26.2,18.1,3.01,0.133,Siddipet,TS
2014-01-12,0.0,27.1,17.0,3.83,0.133,Siddipet,TS
2014-01-13,0.0,26.9,15.5,4.04,0.132,Siddipet,TS
2014-01-14,0.0,26.8,16.3,3.72,0.131,Siddipet,TS
2014-01-15,0.0,28.0,18.2,4.14,0.13,Siddipet,TS
2014-01-16,0.0,28.0,18.2,4.33,0.129,Siddipet,TS
2014-01-17,0.0,28.1,19.4,4.88,0.128,Siddipet,TS
2014-01-18,0.0,27.3,18.5,3.94,0.127,Siddipet,TS
2014-01-19,0.0,27.8,17.7,4.54,0.127,Siddipet,TS
2014-01-20,0.0,27.4,16.2,3.9,0.126,Siddipet,TS
2014-01-21,0.0,27.2,17.3,4.39,0.126,Siddipet,TS
2014-01-22,0.0,26.3,17.0,3.88,0.125,Siddipet,TS
2014-01-23,0.0,26.1,17.9,3.57,0.125,Siddipet,TS
2014-01-24,0.0,27.1,17.2,3.63,0.125,Siddipet,TS
2014-01-25,0.0,27.5,17.5,3.88,0.124,Siddipet,TS
2014-01-26,0.0,27.8,17.1,4.31,0.124,Siddipet,TS
2014-01-27,0.0,27.1,17.5,4.64,0.123,Siddipet,TS
2014-01-28,0.0,27.2,16.2,4.87,0.123,Siddipet,TS
2014-01-29,0.0,26.9,15.4,3.61,0.122,Siddipet,TS
2014-01-30,0.0,27.3,15.8,4.32,0.122,Siddipet,TS
2014-01-31,0.0,27.1,14.6,4.73,0.122,Siddipet,TS
2014-02-01,0.0,27.2,15.5,4.38,0.121,Siddipet,TS
2014-02-02,0.0,27.7,15.1,4.53,0.121,Siddipet,TS
2014-02-03,0.0,28.8,14.9,4.76,0.12,Siddipet,TS
2014-02-04,0.0,29.5,18.6,4.97,0.12,Siddipet,TS
2014-02-05,0.0,30.2,20.0,5.38,0.12,Siddipet,TS
2014-02-06,0.0,30.9,16.1,5.46,0.119,Siddipet,TS
2014-02-07,0.0,31.2,17.4,5.26,0.119,Siddipet,TS
2014-02-08,0.0,31.7,20.4,5.94,0.119,Siddipet,TS
2014-02-09,0.0,31.7,18.2,5.78,0.119,Siddipet,TS
2014-02-10,0.0,31.2,16.7,5.15,0.118,Siddipet,TS
2014-02-11,0.0,30.5,15.9,5.16,0.118,Siddipet,TS
2014-02-12,0.0,29.7,18.2,5.27,0.118,Siddipet,TS
2014-02-13,0.0,29.7,19.1,6.18,0.118,Siddipet,TS
2014-02-14,0.3,27.4,19.9,4.16,0.119,Siddipet,TS
2014-02-15,0.2,28.9,18.6,4.57,0.121,Siddipet,TS
2014-02-16,0.0,26.8,19.8,3.73,0.121,Siddipet,TS
2014-02-17,0.0,26.4,16.5,5.52,0.121,Siddipet,TS
2014-02-18,0.0,27.1,14.1,5.31,0.12,Siddipet,TS
2014-02-19,0.0,28.5,14.2,4.79,0.12,Siddipet,TS
2014-02-20,0.0,30.1,18.0,5.37,0.119,Siddipet,TS
2014-02-21,0.0,29.2,18.5,4.58,0.119,Siddipet,TS
2014-02-22,0.0,29.7,19.1,5.22,0.119,Siddipet,TS
2014-02-23,0.3,29.5,19.0,5.07,0.12,Siddipet,TS
2014-02-24,0.0,29.5,18.2,5.47,0.122,Siddipet,TS
2014-02-25,0.0,29.8,18.0,5.47,0.121,Siddipet,TS
2014-02-26,0.0,30.1,17.6,5.87,0.121,Siddipet,TS
2014-02-27,0.0,30.4,18.8,5.71,0.12,Siddipet,TS
2014-02-28,0.7,29.1,18.8,4.66,0.123,Siddipet,TS
2014-03-01,1.8,27.5,19.3,3.77,0.13,Siddipet,TS
2014-03-02,4.3,26.7,18.3,2.91,0.159,Siddipet,TS
2014-03-03,11.2,26.1,18.8,2.91,0.297,Siddipet,TS
2014-03-04,7.1,23.8,17.9,2.51,0.336,Siddipet,TS
2014-03-05,0.1,26.4,17.6,3.81,0.29,Siddipet,TS
2014-03-06,0.1,26.6,18.6,3.79,0.262,Siddipet,TS
2014-03-07,0.0,27.5,18.3,4.1,0.243,Siddipet,TS
2014-03-08,0.0,28.2,18.9,4.59,0.226,Siddipet,TS
2014-03-09,0.2,28.7,18.4,4.77,0.21,Siddipet,TS
2014-03-10,0.1,28.3,18.7,4.85,0.2,Siddipet,TS
2014-03-11,0.0,30.8,19.4,5.98,0.187,Siddipet,TS
2014-03-12,0.0,30.3,20.6,5.2,0.174,Siddipet,TS
2014-03-13,0.0,31.5,20.3,5.71,0.163,Siddipet,TS
2014-03-14,0.1,32.0,19.9,5.63,0.154,Siddipet,TS
2014-03-15,0.0,32.6,20.4,5.51,0.147,Siddipet,TS
2014-03-16,0.0,33.0,20.4,5.66,0.141,Siddipet,TS
2014-03-17,0.0,33.2,20.4,5.72,0.136,Siddipet,TS
2014-03-18,0.0,33.8,21.9,5.91,0.131,Siddipet,TS
2014-03-19,0.0,34.5,22.0,6.25,0.128,Siddipet,TS
2014-03-20,0.0,34.4,21.9,5.45,0.125,Siddipet,TS
2014-03-21,0.0,35.2,21.9,5.62,0.123,Siddipet,TS
2014-03-22,0.0,34.4,24.3,5.68,0.122,Siddipet,TS
2014-03-23,0.0,34.9,22.7,6.64,0.12,Siddipet,TS
2014-03-24,0.0,34.5,22.8,6.67,0.12,Siddipet,TS
2014-03-25,0.0,34.6,22.6,6.88,0.119,Siddipet,TS
2014-03-26,0.0,35.8,22.7,7.78,0.119,Siddipet,TS
2014-03-27,0.0,36.2,23.3,7.82,0.118,Siddipet,TS
2014-03-28,0.0,36.7,23.8,6.59,0.118,Siddipet,TS
2014-03-29,0.0,37.7,23.0,7.08,0.117,Siddipet,TS
2014-03-30,0.0,37.9,22.3,6.88,0.117,Siddipet,TS
2014-03-31,0.0,37.0,25.0,5.74,0.117,Siddipet,TS
2014-04-01,0.0,36.3,25.6,5.91,0.117,Siddipet,TS
2014-04-02,0.0,35.6,24.7,5.9,0.117,Siddipet,TS
2014-04-03,0.0,35.2,23.6,5.71,0.117,Siddipet,TS
