date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2017-12-31,0.0,29.6,17.8,3.96,0.12,Suryapet,TS
2018-01-01,0.0,30.2,18.5,4.01,0.119,Suryapet,TS
2018-01-02,0.0,29.5,19.2,3.59,0.123,Suryapet,TS
2018-01-03,0.0,29.3,19.2,3.96,0.125,Suryapet,TS
2018-01-04,0.0,29.0,16.0,4.38,0.125,Suryapet,TS
2018-01-05,0.0,29.1,15.1,4.29,0.126,Suryapet,TS
2018-01-06,0.0,28.5,15.5,3.96,0.125,Suryapet,TS
2018-01-07,0.0,28.8,16.3,4.19,0.125,Suryapet,TS
2018-01-08,0.0,28.3,16.4,4.03,0.124,Suryapet,TS
2018-01-09,0.0,28.4,16.7,3.76,0.124,Suryapet,TS
2018-01-10,0.0,29.5,18.4,3.93,0.125,Suryapet,TS
2018-01-11,0.0,30.9,19.3,3.85,0.123,Suryapet,TS
2018-01-12,0.0,32.1,19.0,4.27,0.12,Suryapet,TS
2018-01-13,0.0,32.1,18.3,4.48,0.119,Suryapet,TS
2018-01-14,0.0,31.8,18.8,3.9,0.118,Suryapet,TS
2018-01-15,0.0,30.9,20.4,3.61,0.118,Suryapet,TS
2018-01-16,0.0,31.0,18.7,4.36,0.118,Suryapet,TS
2018-01-17,0.0,30.7,18.2,4.34,0.117,Suryapet,TS
2018-01-18,0.0,29.8,17.2,4.06,0.118,Suryapet,TS
2018-01-19,0.0,30.0,17.5,4.24,0.118,Suryapet,TS
2018-01-20,0.0,29.5,16.9,4.07,0.118,Suryapet,TS
2018-01-21,0.0,29.1,16.6,4.14,0.116,Suryapet,TS
2018-01-22,0.0,28.9,16.9,4.27,0.116,Suryapet,TS
2018-01-23,0.0,29.8,17.7,4.14,0.115,Suryapet,TS
2018-01-24,0.0,31.0,17.5,4.19,0.115,Suryapet,TS
2018-01-25,0.0,30.7,19.3,4.75,0.116,Suryapet,TS
2018-01-26,0.0,30.0,16.8,4.69,0.116,Suryapet,TS
2018-01-27,0.0,29.8,17.2,4.02,0.116,Suryapet,TS
2018-01-28,0.0,30.1,18.0,4.23,0.117,Suryapet,TS
2018-01-29,0.0,30.0,18.2,4.16,0.118,Suryapet,TS
2018-01-30,0.0,30.0,18.1,4.17,0.117,Suryapet,TS
2018-01-31,0.0,31.5,15.8,4.83,0.118,Suryapet,TS
2018-02-01,0.0,32.1,15.2,5.07,0.123,Suryapet,TS
2018-02-02,0.0,32.2,15.7,5.27,0.128,Suryapet,TS
2018-02-03,0.0,31.5,16.6,5.21,0.127,Suryapet,TS
2018-02-04,0.0,31.2,17.3,5.16,0.125,Suryapet,TS
