date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,0.3,25.4,18.5,2.3,0.258,Vikarabad,TS
2020-01-01,1.6,26.7,18.3,2.76,0.268,Vikarabad,TS
2020-01-02,1.1,26.9,19.3,2.79,0.273,Vikarabad,TS
2020-01-03,1.2,27.3,19.2,2.65,0.291,Vikarabad,TS
2020-01-04,0.0,27.1,19.4,2.85,0.291,Vikarabad,TS
2020-01-05,0.0,25.7,17.5,3.13,0.287,Vikarabad,TS
2020-01-06,0.0,27.2,16.8,3.67,0.283,Vikarabad,TS
2020-01-07,0.3,28.3,20.3,3.34,0.283,Vikarabad,TS
2020-01-08,0.0,27.8,19.0,3.41,0.279,Vikarabad,TS
2020-01-09,0.0,27.0,18.6,2.64,0.277,Vikarabad,TS
2020-01-10,0.0,26.6,18.9,2.98,0.278,Vikarabad,TS
2020-01-11,0.0,27.5,17.1,3.93,0.274,Vikarabad,TS
2020-01-12,0.0,27.7,16.7,4.13,0.271,Vikarabad,TS
2020-01-13,0.0,28.7,15.5,4.08,0.265,Vikarabad,TS
2020-01-14,0.0,29.5,17.8,4.8,0.258,Vikarabad,TS
2020-01-15,0.0,28.7,17.6,4.88,0.253,Vikarabad,TS
2020-01-16,0.0,27.8,17.2,4.48,0.251,Vikarabad,TS
2020-01-17,0.0,27.5,17.2,3.79,0.251,Vikarabad,TS
2020-01-18,0.0,29.2,19.2,4.1,0.25,Vikarabad,TS
2020-01-19,0.0,28.5,19.4,3.52,0.252,Vikarabad,TS
2020-01-20,0.1,28.3,18.9,3.65,0.25,Vikarabad,TS
2020-01-21,0.0,29.3,19.2,4.56,0.246,Vikarabad,TS
2020-01-22,0.0,29.7,18.3,5.0,0.241,Vikarabad,TS
2020-01-23,0.0,29.6,18.3,4.87,0.242,Vikarabad,TS
2020-01-24,0.0,30.1,19.0,5.17,0.237,Vikarabad,TS
2020-01-25,0.0,30.2,18.8,4.7,0.236,Vikarabad,TS
2020-01-26,0.0,30.8,19.4,4.64,0.233,Vikarabad,TS
2020-01-27,0.0,31.2,19.8,4.96,0.235,Vikarabad,TS
2020-01-28,0.0,30.6,19.9,5.1,0.235,Vikarabad,TS
2020-01-29,0.0,29.9,20.2,4.66,0.235,Vikarabad,TS
2020-01-30,0.0,30.3,19.1,4.96,0.235,Vikarabad,TS
