date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,32.7,16.8,5.15,0.12,Wanaparthy,TS
2016-01-02,0.0,32.2,17.8,4.74,0.12,Wanaparthy,TS
2016-01-03,0.0,31.8,17.4,4.32,0.12,Wanaparthy,TS
2016-01-04,0.0,31.8,17.6,4.92,0.12,Wanaparthy,TS
2016-01-05,0.0,31.3,18.6,4.83,0.12,Wanaparthy,TS
2016-01-06,0.0,30.8,18.2,4.87,0.12,Wanaparthy,TS
2016-01-07,0.0,31.1,18.1,5.04,0.12,Wanaparthy,TS
2016-01-08,0.0,31.0,16.6,4.77,0.12,Wanaparthy,TS
2016-01-09,0.0,31.3,18.7,5.04,0.12,Wanaparthy,TS
2016-01-10,0.0,31.5,18.0,5.3,0.12,Wanaparthy,TS
2016-01-11,0.0,30.9,18.0,5.17,0.12,Wanaparthy,TS
2016-01-12,0.0,30.8,17.4,4.6,0.12,Wanaparthy,TS
2016-01-13,0.0,30.8,16.8,4.94,0.12,Wanaparthy,TS
2016-01-14,0.0,31.2,18.0,5.03,0.12,Wanaparthy,TS
2016-01-15,0.0,30.5,18.3,4.93,0.12,Wanaparthy,TS
2016-01-16,0.0,30.7,18.3,4.76,0.12,Wanaparthy,TS
2016-01-17,0.0,30.3,19.6,5.32,0.12,Wanaparthy,TS
2016-01-18,0.0,30.1,19.2,4.77,0.12,Wanaparthy,TS
2016-01-19,1.8,28.0,20.9,2.82,0.127,Wanaparthy,TS
2016-01-20,7.0,24.8,20.4,1.21,0.221,Wanaparthy,TS
2016-01-21,0.0,29.0,19.1,3.71,0.233,Wanaparthy,TS
2016-01-22,0.0,28.7,19.0,4.67,0.213,Wanaparthy,TS
2016-01-23,0.0,28.4,18.5,3.15,0.199,Wanaparthy,TS
2016-01-24,0.0,30.1,19.8,3.6,0.189,Wanaparthy,TS
2016-01-25,0.0,29.3,19.5,3.11,0.18,Wanaparthy,TS
2016-01-26,0.0,30.3,19.2,4.18,0.173,Wanaparthy,TS
2016-01-27,0.0,32.1,19.2,4.36,0.165,Wanaparthy,TS
2016-01-28,0.0,32.5,18.5,4.61,0.157,Wanaparthy,TS
2016-01-29,0.0,33.8,18.4,5.37,0.149,Wanaparthy,TS
2016-01-30,0.0,33.9,17.7,5.17,0.143,Wanaparthy,TS
2016-01-31,0.0,34.8,20.9,5.31,0.138,Wanaparthy,TS
2016-02-01,0.0,35.0,19.7,5.09,0.135,Wanaparthy,TS
2016-02-02,0.0,34.8,18.7,5.17,0.131,Wanaparthy,TS
2016-02-03,0.0,34.8,21.4,5.12,0.129,Wanaparthy,TS
2016-02-04,0.0,34.0,18.6,5.56,0.127,Wanaparthy,TS
2016-02-05,0.0,33.0,19.5,5.56,0.126,Wanaparthy,TS
2016-02-06,0.0,33.2,19.9,5.84,0.125,Wanaparthy,TS
2016-02-07,0.0,33.2,19.7,5.25,0.123,Wanaparthy,TS
2016-02-08,0.0,33.7,19.8,5.13,0.123,Wanaparthy,TS
2016-02-09,0.0,34.2,22.1,5.08,0.122,Wanaparthy,TS
2016-02-10,0.0,34.0,22.0,5.81,0.121,Wanaparthy,TS
2016-02-11,0.0,34.2,23.3,5.53,0.121,Wanaparthy,TS
2016-02-12,0.0,33.9,22.5,5.27,0.121,Wanaparthy,TS
2016-02-13,0.0,33.6,23.6,5.32,0.12,Wanaparthy,TS
2016-02-14,0.0,34.2,22.0,6.13,0.12,Wanaparthy,TS
2016-02-15,0.0,34.3,19.8,6.83,0.12,Wanaparthy,TS
2016-02-16,0.0,33.6,20.0,6.27,0.12,Wanaparthy,TS
2016-02-17,0.0,33.5,18.3,6.59,0.12,Wanaparthy,TS
2016-02-18,0.0,34.2,19.3,6.44,0.12,Wanaparthy,TS
2016-02-19,0.0,34.9,17.2,6.32,0.12,Wanaparthy,TS
2016-02-20,0.0,36.0,19.6,5.43,0.12,Wanaparthy,TS
2016-02-21,0.0,36.9,20.0,5.45,0.12,Wanaparthy,TS
2016-02-22,0.0,36.7,21.4,5.74,0.12,Wanaparthy,TS
2016-02-23,0.0,37.5,21.9,6.6,0.12,Wanaparthy,TS
2016-02-24,0.0,36.2,22.9,5.9,0.12,Wanaparthy,TS
2016-02-25,0.0,36.2,23.7,5.92,0.12,Wanaparthy,TS
2016-02-26,0.0,34.1,23.2,5.74,0.12,Wanaparthy,TS
2016-02-27,0.0,34.6,22.4,6.03,0.12,Wanaparthy,TS
2016-02-28,0.0,34.2,22.7,5.44,0.12,Wanaparthy,TS
2016-02-29,0.0,35.3,23.6,6.14,0.12,Wanaparthy,TS
2016-03-01,0.0,34.1,23.2,5.68,0.12,Wanaparthy,TS
2016-03-02,0.2,34.1,23.8,5.35,0.121,Wanaparthy,TS
2016-03-03,0.0,35.9,23.9,5.99,0.123,Wanaparthy,TS
2016-03-04,0.0,35.3,23.0,5.57,0.122,Wanaparthy,TS
2016-03-05,0.0,34.6,24.8,5.63,0.122,Wanaparthy,TS
2016-03-06,0.0,36.8,22.1,7.11,0.121,Wanaparthy,TS
2016-03-07,0.0,36.4,20.3,7.1,0.121,Wanaparthy,TS
2016-03-08,0.0,36.0,20.5,6.48,0.12,Wanaparthy,TS
2016-03-09,0.0,36.0,22.2,5.92,0.12,Wanaparthy,TS
