date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,27.5,14.5,3.77,0.098,Warangal,TS
2025-12-30,0.0,27.8,15.2,3.82,0.096,Warangal,TS
2025-12-31,0.0,28.4,15.7,3.44,0.096,Warangal,TS
2026-01-01,0.0,28.6,17.3,3.11,0.096,Warangal,TS
2026-01-02,0.0,29.0,18.4,3.41,0.096,Warangal,TS
2026-01-03,0.0,28.3,18.5,3.37,0.096,Warangal,TS
2026-01-04,0.0,28.0,17.9,3.43,0.096,Warangal,TS
2026-01-05,0.0,28.1,17.1,3.71,0.096,Warangal,TS
2026-01-06,0.0,27.5,15.3,4.09,0.096,Warangal,TS
2026-01-07,0.0,28.1,14.6,4.03,0.096,Warangal,TS
2026-01-08,0.0,27.4,13.9,3.93,0.096,Warangal,TS
2026-01-09,0.0,26.8,13.7,4.01,0.096,Warangal,TS
2026-01-10,0.0,24.4,14.7,2.79,0.096,Warangal,TS
2026-01-11,0.0,27.6,16.0,3.64,0.096,Warangal,TS
2026-01-12,0.0,28.3,17.4,3.43,0.096,Warangal,TS
2026-01-13,0.0,29.9,18.4,3.94,0.096,Warangal,TS
2026-01-14,0.0,30.5,17.9,3.67,0.096,Warangal,TS
2026-01-15,0.0,30.5,19.3,4.21,0.096,Warangal,TS
2026-01-16,0.0,29.1,17.2,4.49,0.096,Warangal,TS
2026-01-17,0.0,29.6,16.6,4.56,0.096,Warangal,TS
2026-01-18,0.0,30.6,15.6,3.96,0.104,Warangal,TS
2026-01-19,0.0,29.3,16.6,3.62,0.098,Warangal,TS
2026-01-20,0.0,29.9,17.2,3.89,0.097,Warangal,TS
2026-01-21,0.0,29.2,17.8,4.23,0.096,Warangal,TS
2026-01-22,0.0,29.0,17.4,4.43,0.096,Warangal,TS
2026-01-23,0.0,28.7,17.8,4.34,0.096,Warangal,TS
2026-01-24,0.0,29.2,17.4,3.91,0.096,Warangal,TS
2026-01-25,0.0,30.3,18.7,4.06,0.096,Warangal,TS
2026-01-26,0.0,30.5,19.1,4.34,0.095,Warangal,TS
2026-01-27,0.0,29.8,18.9,4.58,0.095,Warangal,TS
2026-01-28,0.0,31.0,18.5,4.17,0.095,Warangal,TS
2026-01-29,0.0,30.9,18.8,4.07,0.095,Warangal,TS
2026-01-30,0.0,30.3,19.0,4.15,0.095,Warangal,TS
2026-01-31,0.0,30.1,18.5,4.4,0.095,Warangal,TS
2026-02-01,0.0,30.3,18.6,4.31,0.095,Warangal,TS
2026-02-02,0.0,30.4,18.4,4.04,0.095,Warangal,TS
2026-02-03,0.0,30.4,19.0,4.25,0.095,Warangal,TS
2026-02-04,0.0,30.8,19.0,4.45,0.095,Warangal,TS
2026-02-05,0.0,31.0,18.8,4.47,0.095,Warangal,TS
2026-02-06,0.0,30.8,19.1,4.72,0.094,Warangal,TS
2026-02-07,0.0,30.7,17.9,5.18,0.094,Warangal,TS
2026-02-08,0.0,30.4,17.5,5.49,0.094,Warangal,TS
2026-02-09,0.0,31.0,17.0,4.79,0.094,Warangal,TS
2026-02-10,0.0,31.1,16.8,4.46,0.094,Warangal,TS
2026-02-11,0.0,30.9,18.4,4.46,0.094,Warangal,TS
2026-02-12,0.0,31.6,18.4,4.76,0.094,Warangal,TS
2026-02-13,0.0,31.7,18.6,5.05,0.094,Warangal,TS
2026-02-14,0.0,32.1,18.6,5.08,0.093,Warangal,TS
2026-02-15,0.0,32.6,18.7,5.27,0.093,Warangal,TS
2026-02-16,0.0,32.6,20.0,5.01,0.093,Warangal,TS
2026-02-17,0.0,32.1,18.9,5.29,0.093,Warangal,TS
2026-02-18,0.0,31.5,19.0,5.04,0.092,Warangal,TS
2026-02-19,0.0,31.9,19.3,5.15,0.098,Warangal,TS
2026-02-20,0.0,32.7,19.5,5.01,0.097,Warangal,TS
2026-02-21,0.0,33.5,20.3,5.05,0.092,Warangal,TS
2026-02-22,0.0,33.8,21.3,5.18,0.091,Warangal,TS
2026-02-23,2.0,32.7,21.2,4.46,0.093,Warangal,TS
2026-02-24,0.2,31.0,20.6,4.28,0.211,Warangal,TS
2026-02-25,0.0,31.8,20.1,4.22,0.233,Warangal,TS
2026-02-26,0.0,32.7,19.8,4.58,0.226,Warangal,TS
2026-02-27,0.0,32.9,20.0,4.65,0.207,Warangal,TS
2026-02-28,0.0,32.8,21.0,5.19,0.188,Warangal,TS
2026-03-01,0.0,33.9,22.0,4.95,0.17,Warangal,TS
2026-03-02,0.0,34.3,21.4,5.1,0.154,Warangal,TS
2026-03-03,0.0,34.7,21.0,5.93,0.132,Warangal,TS
2026-03-04,0.0,34.6,20.5,6.1,0.107,Warangal,TS
2026-03-05,0.0,34.9,22.6,7.05,0.098,Warangal,TS
2026-03-06,0.0,36.0,23.1,7.07,0.096,Warangal,TS
2026-03-07,0.0,36.5,22.5,6.41,0.095,Warangal,TS
2026-03-08,0.0,34.8,21.1,5.31,0.095,Warangal,TS
2026-03-09,0.0,33.9,22.2,5.49,0.095,Warangal,TS
2026-03-10,0.0,33.0,22.6,5.63,0.095,Warangal,TS
2026-03-11,0.0,35.1,22.3,5.78,0.094,Warangal,TS
2026-03-12,0.0,36.9,21.6,6.58,0.094,Warangal,TS
2026-03-13,0.0,36.2,21.3,6.77,0.094,Warangal,TS
2026-03-14,0.0,35.3,21.6,6.35,0.094,Warangal,TS
2026-03-15,0.0,35.0,21.8,6.34,0.093,Warangal,TS
2026-03-16,0.7,32.5,23.1,5.36,0.096,Warangal,TS
2026-03-17,0.2,32.6,21.4,5.3,0.105,Warangal,TS
2026-03-18,0.2,30.0,21.4,3.46,0.125,Warangal,TS
2026-03-19,0.0,31.8,20.5,5.17,0.117,Warangal,TS
2026-03-20,0.2,32.2,20.4,4.74,0.101,Warangal,TS
2026-03-21,0.6,33.0,22.2,4.96,0.096,Warangal,TS
2026-03-22,0.1,32.6,22.3,4.79,0.109,Warangal,TS
2026-03-23,0.1,34.3,23.0,5.52,0.111,Warangal,TS
2026-03-24,0.0,35.3,22.7,6.05,0.107,Warangal,TS
2026-03-25,0.0,35.6,23.6,5.5,0.108,Warangal,TS
2026-03-26,0.0,37.1,23.7,6.43,0.107,Warangal,TS
2026-03-27,0.0,37.3,23.9,6.75,0.103,Warangal,TS
2026-03-28,0.0,37.1,25.3,6.95,0.096,Warangal,TS
2026-03-29,0.0,38.1,24.8,6.55,0.095,Warangal,TS
2026-03-30,0.2,36.5,24.7,6.5,0.095,Warangal,TS
2026-03-31,0.0,35.2,24.2,5.66,0.099,Warangal,TS
2026-04-01,0.0,36.0,24.0,6.35,0.099,Warangal,TS
2026-04-02,0.0,35.2,23.3,6.07,0.099,Warangal,TS
2026-04-03,0.0,36.6,24.6,5.82,0.097,Warangal,TS
2026-04-04,0.0,36.1,24.1,5.73,0.096,Warangal,TS
2026-04-05,0.1,35.8,26.4,5.8,0.101,Warangal,TS
2026-04-06,0.0,36.0,25.7,6.16,0.103,Warangal,TS
2026-04-07,0.0,36.7,24.9,6.48,0.099,Warangal,TS
2026-04-08,0.0,37.6,24.0,6.97,0.095,Warangal,TS
2026-04-09,0.0,37.9,25.4,6.57,0.095,Warangal,TS
2026-04-10,0.0,39.2,25.5,6.86,0.094,Warangal,TS
2026-04-11,0.0,39.4,25.5,6.68,0.094,Warangal,TS
2026-04-12,0.0,39.6,25.5,7.2,0.093,Warangal,TS
2026-04-13,0.0,39.6,25.9,7.51,0.093,Warangal,TS
2026-04-14,0.0,39.9,26.3,7.84,0.092,Warangal,TS
2026-04-15,0.0,40.3,26.4,7.82,0.091,Warangal,TS
2026-04-16,0.0,40.5,26.5,7.55,0.091,Warangal,TS
2026-04-17,1.0,40.5,26.4,6.5,0.093,Warangal,TS
2026-04-18,0.0,40.0,26.9,7.37,0.093,Warangal,TS
2026-04-19,0.1,39.6,26.8,6.96,0.092,Warangal,TS
2026-04-20,0.0,39.6,26.6,7.04,0.092,Warangal,TS
2026-04-21,0.0,38.4,27.1,6.39,0.096,Warangal,TS
2026-04-22,0.0,39.8,28.1,7.3,0.088,Warangal,TS
2026-04-23,0.3,40.1,27.1,6.71,0.099,Warangal,TS
2026-04-24,0.0,40.3,25.9,7.23,0.114,Warangal,TS
2026-04-25,0.0,40.0,26.3,7.15,0.098,Warangal,TS
2026-04-26,0.0,40.3,27.2,7.38,0.096,Warangal,TS
2026-04-27,0.0,40.1,26.0,8.01,0.098,Warangal,TS
2026-04-28,0.0,38.9,27.0,6.93,0.092,Warangal,TS
2026-04-29,0.0,39.8,26.9,7.75,0.096,Warangal,TS
2026-04-30,0.3,40.4,27.6,7.76,0.103,Warangal,TS
2026-05-01,0.0,39.4,26.7,7.99,0.107,Warangal,TS
2026-05-02,0.0,40.4,25.7,7.34,0.098,Warangal,TS
2026-05-03,0.0,39.5,26.9,7.14,0.101,Warangal,TS
2026-05-04,0.0,38.6,25.7,7.13,0.098,Warangal,TS
2026-05-05,0.0,39.3,27.4,7.56,0.096,Warangal,TS
2026-05-06,0.0,36.5,25.7,6.13,0.095,Warangal,TS
2026-05-07,0.4,36.0,26.1,6.2,0.096,Warangal,TS
