date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,26.1,14.9,3.98,0.179,Yadadri Bhuvanagiri,TS
2025-12-30,0.0,27.1,16.0,3.88,0.177,Yadadri Bhuvanagiri,TS
2025-12-31,0.0,27.5,16.3,3.67,0.182,Yadadri Bhuvanagiri,TS
2026-01-01,0.0,27.3,17.2,3.26,0.201,Yadadri Bhuvanagiri,TS
2026-01-02,0.1,27.3,17.5,3.13,0.219,Yadadri Bhuvanagiri,TS
2026-01-03,0.1,27.1,16.9,3.39,0.237,Yadadri Bhuvanagiri,TS
2026-01-04,0.0,26.6,16.7,3.52,0.257,Yadadri Bhuvanagiri,TS
2026-01-05,0.0,26.3,17.2,3.76,0.268,Yadadri Bhuvanagiri,TS
2026-01-06,0.0,26.0,15.8,4.13,0.275,Yadadri Bhuvanagiri,TS
2026-01-07,0.0,26.1,14.0,4.06,0.268,Yadadri Bhuvanagiri,TS
2026-01-08,0.0,25.6,13.8,4.06,0.275,Yadadri Bhuvanagiri,TS
2026-01-09,0.0,24.8,13.8,4.23,0.276,Yadadri Bhuvanagiri,TS
2026-01-10,0.0,24.2,15.3,3.78,0.279,Yadadri Bhuvanagiri,TS
2026-01-11,0.0,25.5,15.5,3.82,0.288,Yadadri Bhuvanagiri,TS
2026-01-12,0.0,26.1,17.9,3.8,0.279,Yadadri Bhuvanagiri,TS
2026-01-13,0.0,27.7,17.4,3.79,0.268,Yadadri Bhuvanagiri,TS
2026-01-14,0.0,28.6,19.2,3.52,0.266,Yadadri Bhuvanagiri,TS
2026-01-15,0.0,28.8,19.6,3.82,0.267,Yadadri Bhuvanagiri,TS
2026-01-16,0.0,28.1,17.5,4.5,0.262,Yadadri Bhuvanagiri,TS
2026-01-17,0.0,28.4,17.0,4.65,0.259,Yadadri Bhuvanagiri,TS
2026-01-18,0.0,28.8,17.3,4.28,0.26,Yadadri Bhuvanagiri,TS
2026-01-19,0.0,27.9,15.3,4.01,0.263,Yadadri Bhuvanagiri,TS
2026-01-20,0.0,27.7,16.8,4.02,0.252,Yadadri Bhuvanagiri,TS
2026-01-21,0.0,26.7,15.9,3.99,0.248,Yadadri Bhuvanagiri,TS
2026-01-22,0.0,26.5,16.1,4.15,0.251,Yadadri Bhuvanagiri,TS
2026-01-23,0.0,26.5,16.0,4.14,0.25,Yadadri Bhuvanagiri,TS
2026-01-24,0.0,26.9,15.8,3.69,0.258,Yadadri Bhuvanagiri,TS
2026-01-25,0.0,27.7,17.7,3.72,0.266,Yadadri Bhuvanagiri,TS
2026-01-26,0.0,27.8,16.9,3.85,0.274,Yadadri Bhuvanagiri,TS
2026-01-27,0.0,27.6,17.3,4.0,0.276,Yadadri Bhuvanagiri,TS
