state,district,lat,lon,coord_source
AP,Anantapur,14.68,77.6,QWEN_PROVIDED
AP,Kurnool,15.82,78.03,QWEN_PROVIDED
AP,Guntur,16.3,80.44,QWEN_PROVIDED
AP,Krishna,16.5,80.64,QWEN_PROVIDED
AP,Chittoor,13.21,79.11,QWEN_PROVIDED
TS,Nizamabad,18.67,78.1,QWEN_PROVIDED
TS,Karimnagar,18.43,79.12,QWEN_PROVIDED
TS,Warangal,17.97,79.59,QWEN_PROVIDED
TS,Khammam,17.24,80.15,QWEN_PROVIDED
TS,Mahabubnagar,16.73,77.99,QWEN_PROVIDED
AP,Alluri Sitharama Raju,18.32,82.88,GLM_APPROX
AP,Anakapalli,17.55,82.95,GLM_APPROX
AP,Annamayya,14.05,78.75,GLM_APPROX
AP,Bapatla,15.91,80.47,GLM_APPROX
AP,Dr B R Ambedkar Konaseema,16.58,81.98,GLM_APPROX
AP,East Godavari,17.0,81.78,GLM_APPROX
AP,Eluru,16.71,81.1,GLM_APPROX
AP,Kakinada,16.99,82.25,GLM_APPROX
AP,Nandyal,15.48,78.48,GLM_APPROX
AP,NTR,16.51,80.65,GLM_APPROX
AP,Palnadu,16.24,80.05,GLM_APPROX
AP,Parvathipuram Manyam,18.78,83.43,GLM_APPROX
AP,Prakasam,15.51,80.05,GLM_APPROX
AP,Sri Potti Sriramulu Nellore,14.44,79.99,GLM_APPROX
AP,Srikakulam,18.3,83.9,GLM_APPROX
AP,Sri Sathya Sai,14.41,77.81,GLM_APPROX
AP,Tirupati,13.63,79.42,GLM_APPROX
AP,Visakhapatnam,17.69,83.22,GLM_APPROX
AP,Vizianagaram,18.11,83.41,GLM_APPROX
AP,West Godavari,16.55,81.53,GLM_APPROX
AP,YSR Kadapa,14.47,78.82,GLM_APPROX
TS,Adilabad,19.66,78.53,GLM_APPROX
TS,Bhadradri Kothagudem,17.55,80.75,GLM_APPROX
TS,Hanumakonda,18.0,79.58,GLM_APPROX
TS,Hyderabad,17.39,78.49,GLM_APPROX
TS,Jagtial,18.79,78.93,GLM_APPROX
TS,Jangaon,17.72,79.18,GLM_APPROX
TS,Jayashankar Bhupalpally,18.19,80.08,GLM_APPROX
TS,Jogulamba Gadwal,16.23,77.79,GLM_APPROX
TS,Kamareddy,18.32,78.33,GLM_APPROX
TS,Kumuram Bheem Asifabad,19.36,79.29,GLM_APPROX
TS,Mahabubabad,17.6,79.87,GLM_APPROX
TS,Mancherial,18.87,79.44,GLM_APPROX
TS,Medak,18.05,78.27,GLM_APPROX
TS,Medchal Malikajgiri,17.53,78.48,GLM_APPROX
TS,Mulugu,18.22,80.02,GLM_APPROX
TS,Nagarkurnool,16.48,78.33,GLM_APPROX
TS,Nalgonda,17.05,79.27,GLM_APPROX
TS,Narayanpet,16.75,77.5,GLM_APPROX
TS,Nirmal,19.1,78.34,GLM_APPROX
TS,Peddapalli,18.61,79.37,GLM_APPROX
TS,Rajanna Sircilla,18.38,78.83,GLM_APPROX
TS,Rangareddy,17.3,78.35,GLM_APPROX
TS,Sangareddy,17.62,78.08,GLM_APPROX
TS,Siddipet,18.1,78.85,GLM_APPROX
TS,Suryapet,17.14,79.62,GLM_APPROX
TS,Vikarabad,17.34,77.9,GLM_APPROX
TS,Wanaparthy,16.37,78.07,GLM_APPROX
TS,Yadadri Bhuvanagiri,17.51,78.89,GLM_APPROX
