state,lgd_state_code,district_name_lgd,district_name_local,formed_or_renamed,dominant_parent_at_formation,basis_note,lgd_district_code,lgd_name_live,lgd_effective_date,match_method
AP,28,Srikakulam,Srikakulam,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),519,Srikakulam,2022-04-03,EXACT
AP,28,Vizianagaram,Vizianagaram,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),521,Vizianagaram,2022-04-03,EXACT
AP,28,Visakhapatnam,Visakhapatnam,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),520,Visakhapatnam,2022-04-03,EXACT
AP,28,East Godavari,East Godavari,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),505,East Godavari,2022-04-05,EXACT
AP,28,West Godavari,West Godavari,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),523,West Godavari,2022-04-05,EXACT
AP,28,Krishna,Krishna,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),510,Krishna,2022-04-04,EXACT
AP,28,Guntur,Guntur,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),506,Guntur,2022-04-03,EXACT
AP,28,Prakasam,Prakasam,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),517,Prakasam,2026-01-19,EXACT
AP,28,Nellore,Nellore,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),515,Sri Potti Sriramulu Nellore,2008-05-28,RESOLVED_NAME_VARIANT
AP,28,Kurnool,Kurnool,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),511,Kurnool,2022-04-03,EXACT
AP,28,Ananthapuramu,Ananthapuramu,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),502,Ananthapuramu,2013-04-17,EXACT
AP,28,Chittoor,Chittoor,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),503,Chittoor,2022-04-03,EXACT
AP,28,YSR Kadapa,YSR Kadapa,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),504,Y.S.R. Kadapa,2025-05-25,NOSPACE
AP,28,Parvathipuram Manyam,Parvathipuram Manyam,2022-04-04,Vizianagaram,NEW_2022,743,Parvathipuram Manyam,2022-04-03,EXACT
AP,28,Alluri Sitharama Raju,Alluri Sitharama Raju,2022-04-04,Visakhapatnam,NEW_2022,745,Alluri Sitharama Raju,2026-01-19,EXACT
