ID,Target
20150901_-55.5_-68.5,0.46284932
20150901_-55.5_-67.5,0.51299304
20150901_-54.5_-71.5,0.3836386
20150901_-54.5_-70.5,0.450503
20150901_-54.5_-69.5,0.5018583
20150901_-54.5_-68.5,0.5364787
20150901_-54.5_-67.5,0.5569787
20150901_-54.5_-66.5,0.5657418
20150901_-53.5_-73.5,0.5415916
20150901_-53.5_-72.5,0.54826087
20150901_-53.5_-71.5,0.55758375
20150901_-53.5_-70.5,0.56750196
20150901_-53.5_-69.5,0.576136
20150901_-53.5_-68.5,0.5820062
20150901_-52.5_-74.5,0.624001
20150901_-52.5_-73.5,0.6246916
20150901_-52.5_-72.5,0.6249969
20150901_-52.5_-71.5,0.62482554
20150901_-52.5_-70.5,0.62394595
20150901_-52.5_-69.5,0.62191504
20150901_-52.5_-68.5,0.61797035
20150901_-51.5_-74.5,0.65020496
20150901_-51.5_-73.5,0.65075415
20150901_-51.5_-72.5,0.6508194
20150901_-51.5_-71.5,0.65029097
20150901_-51.5_-70.5,0.6489282
20150901_-51.5_-69.5,0.6462846
20150901_-51.5_-60.5,-0.2996628
20150901_-51.5_-59.5,-0.43499967
20150901_-51.5_-58.5,-0.5128154
20150901_-50.5_-74.5,0.6607706
20150901_-50.5_-73.5,0.66109824
20150901_-50.5_-72.5,0.6611064
20150901_-50.5_-71.5,0.6607116
20150901_-50.5_-70.5,0.6597054
20150901_-50.5_-69.5,0.65767246
20150901_-49.5_-75.5,0.6654456
20150901_-49.5_-74.5,0.66584766
20150901_-49.5_-73.5,0.6659689
20150901_-49.5_-72.5,0.66583484
20150901_-49.5_-71.5,0.66538054
20150901_-49.5_-70.5,0.679945
20150901_-49.5_-69.5,0.6625387
20150901_-49.5_-68.5,0.6588923
20150901_-49.5_69.5,0.099956304
20150901_-48.5_-75.5,0.6682154
20150901_-48.5_-74.5,0.6685093
20150901_-48.5_-73.5,0.6684901
20150901_-48.5_-72.5,0.66819364
20150901_-48.5_-71.5,0.66755587
20150901_-48.5_-70.5,0.6663686
20150901_-48.5_-69.5,0.66415375
20150901_-48.5_-68.5,0.6598589
20150901_-48.5_-67.5,0.65108156
20150901_-47.5_-73.5,0.66970754
20150901_-47.5_-72.5,0.6692177
20150901_-47.5_-71.5,0.6682604
20150901_-47.5_-70.5,0.6665596
20150901_-47.5_-69.5,0.6634655
20150901_-47.5_-68.5,0.6575304
20150901_-47.5_-67.5,0.64358485
20150901_-47.5_-66.5,0.61765796
20150901_-46.5_-74.5,0.6696786
20150901_-46.5_-73.5,0.66950476
20150901_-46.5_-72.5,0.6686547
20150901_-46.5_-71.5,0.6669942
20150901_-46.5_-70.5,0.6640943
20150901_-46.5_-69.5,0.6562973
20150901_-46.5_-68.5,0.64700896
20150901_-46.5_-67.5,0.6292327
20150901_-46.5_168.5,-0.394007
20150901_-46.5_169.5,-0.4259143
20150901_-45.5_-74.5,0.66512126
20150901_-45.5_-73.5,0.6647739
20150901_-45.5_-72.5,0.66284186
20150901_-45.5_-71.5,0.65901244
20150901_-45.5_-70.5,0.6486369
20150901_-45.5_-69.5,0.6380737
20150901_-45.5_-68.5,0.62088805
20150901_-45.5_-67.5,0.59286803
20150901_-45.5_167.5,-0.23863086
20150901_-45.5_168.5,-0.26912042
20150901_-45.5_169.5,-0.30945185
20150901_-45.5_170.5,-0.3618941
20150901_-44.5_-74.5,0.6315561
20150901_-44.5_-73.5,0.63108575
20150901_-44.5_-72.5,0.62195367
20150901_-44.5_-71.5,0.608094
20150901_-44.5_-70.5,0.5875846
20150901_-44.5_-69.5,0.5610339
20150901_-44.5_-68.5,0.5299134
20150901_-44.5_-67.5,0.49536464
20150901_-44.5_-66.5,0.45609927
20150901_-44.5_-65.5,0.40670753
20150901_-44.5_168.5,-0.17356367
20150901_-44.5_169.5,-0.21377742
20150901_-44.5_170.5,-0.26693672
20150901_-43.5_-73.5,0.20968914
20150901_-43.5_-72.5,0.16383749
20150901_-43.5_-71.5,0.14050171
20150901_-43.5_-70.5,0.14267038
20150901_-43.5_-69.5,0.16706453
20150901_-43.5_-68.5,0.2069721
20150901_-43.5_-67.5,0.25370127
20150901_-43.5_-66.5,0.29755282
20150901_-43.5_-65.5,0.32785648
20150901_-43.5_146.5,-0.30751994
20150901_-43.5_170.5,-0.24822931
20150901_-43.5_171.5,-0.30107155
20150901_-43.5_172.5,-0.3554815
20150901_-42.5_-73.5,-0.4686559
20150901_-42.5_-72.5,-0.47621736
20150901_-42.5_-71.5,-0.45580506
20150901_-42.5_-70.5,-0.4026865
20150901_-42.5_-69.5,-0.31102893
20150901_-42.5_-68.5,-0.17983253
20150901_-42.5_-67.5,-0.02171838
20150901_-42.5_-66.5,0.13450521
20150901_-42.5_-65.5,0.25771934
20150901_-42.5_-64.5,0.33009973
20150901_-42.5_145.5,-0.3195404
20150901_-42.5_146.5,-0.29786706
20150901_-42.5_147.5,-0.2876203
