state,lgd_state_code,district_name_lgd,district_name_local,formed_or_renamed,dominant_parent_at_formation,basis_note,lgd_district_code
AP,28,Srikakulam,Srikakulam,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Vizianagaram,Vizianagaram,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Visakhapatnam,Visakhapatnam,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,East Godavari,East Godavari,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,West Godavari,West Godavari,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Krishna,Krishna,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Guntur,Guntur,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Prakasam,Prakasam,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Nellore,Nellore,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Kurnool,Kurnool,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Ananthapuramu,Ananthapuramu,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Chittoor,Chittoor,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,YSR Kadapa,YSR Kadapa,PRE-2022-BASIS,,CONTINUES_2022 (boundaries changed),PENDING_FOUNDER_EXPORT
AP,28,Parvathipuram Manyam,Parvathipuram Manyam,2022-04-04,Vizianagaram,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Alluri Sitharama Raju,Alluri Sitharama Raju,2022-04-04,Visakhapatnam,NEW_2022,PENDING_FOUNDER_EXPORT
